a	polish	a	a		IN_WIKTIONARY
ajьce	polish	jajko	ˈjaj.kɔ		IN_WIKTIONARY
ako	polish	jako	[ˈjakɔ]		CORRECTED
akъ	polish	jaki	ˈja.kʲi		IN_WIKTIONARY
akъjь	polish	jaki	ˈja.kʲi		IN_WIKTIONARY
aviti	polish	jawić	ˈja.vʲit͡ɕ		IN_WIKTIONARY
avьnъjь	polish	jawny	ˈjav.nɨ		IN_WIKTIONARY
azъ	polish	ja	ja		IN_WIKTIONARY
aščerъ	polish	jaszczur	ˈjaʂ.t͡ʂur		IN_WIKTIONARY
àgnę	polish	jagnię	ˈjaɡ.ɲɛ		IN_WIKTIONARY
àma	polish	jama	ˈja.ma		IN_WIKTIONARY
ȁgoda	polish	jagoda	jaˈɡɔ.da		IN_WIKTIONARY
ȃje	polish	jajo	[ˈjajɔ]		CORRECTED
bagno	polish	bagno	ˈbaɡ.nɔ		IN_WIKTIONARY
bàjati	polish	bajać	ˈba.jat͡ɕ		IN_WIKTIONARY
bàviti	polish	bawić	ˈba.vʲit͡ɕ		IN_WIKTIONARY
bȁba	polish	baba	ˈba.ba		IN_WIKTIONARY
berstъ	polish	brzost	bʐɔst		IN_WIKTIONARY
bez	polish	bez	bɛs		IN_WIKTIONARY
bezъ	polish	bez	bɛs		IN_WIKTIONARY
bèrmę	polish	brzemię	ˈbʐɛ.mʲɛ		IN_WIKTIONARY
bèrza	polish	brzoza	ˈbʐɔ.za		IN_WIKTIONARY
běžàti	polish	bieżeć	ˈbʲɛʐɛt͡ɕ
bě̀gati	polish	biegać	ˈbʲɛ.ɡat͡ɕ		IN_WIKTIONARY
belъjь	polish	biaɫy	ˈbʲawɨ	ˈbʲawɨ	SAME
bě̄dà	polish	bieda	ˈbʲɛ.da		IN_WIKTIONARY
bě̑sъ	polish	bies	bʲɛs		IN_WIKTIONARY
bȇrgъ	polish	brzeg	bʐɛk		IN_WIKTIONARY
bìti	polish	bić	bʲit͡ɕ		IN_WIKTIONARY
bìtva	polish	bitwa	ˈbʲi.tfa		IN_WIKTIONARY
bìčь	polish	bicz	bʲit͡ʂ		IN_WIKTIONARY
bledъjь	polish	blady	ˈbla.dɨ		IN_WIKTIONARY
blě̑skъ	polish	blask	blask		IN_WIKTIONARY
blǭdìti	polish	bɫądzić	ˈbwɔɲd͡ʑ
blǫ̑dъ	polish	bɫąd	bwɔnt
bl̨ьvàti	polish	blwać	blvat͡ɕ
blъxà	polish	pchɫa	pxwa	pxwa	SAME
blьknǫti	polish	blaknąć	ˈblak.nɔɲt͡ɕ		IN_WIKTIONARY
blьščati	polish	bɫyszczeć	ˈbɨʂt͡ʂɛt͡ɕ
bo	polish	bo	[bɔ]		CORRECTED
bogatъjь	polish	bogaty	bɔˈɡa.tɨ		IN_WIKTIONARY
bojati sę	polish	bać się	bat͡ɕ ɕɛ
bojaznь	polish	bojaźń	ˈbɔ.jaʑɲ		IN_WIKTIONARY
bojь	polish	bój	buj		IN_WIKTIONARY
bolěti	polish	boleć	ˈbɔ.lɛt͡ɕ		IN_WIKTIONARY
bolnьje	polish	bɫonie	ˈbwɔɲɛ	ˈbwɔɲɛ	SAME
bordatъjь	polish	brodaty	brɔˈda.tɨ		IN_WIKTIONARY
bordà	polish	broda	ˈbrɔ.da		IN_WIKTIONARY
bordlo	polish	brodɫo	ˈbrɔdwɔ	ˈbrɔdwɔ	SAME
borna	polish	brona	ˈbrɔ.na		IN_WIKTIONARY
borzdà	polish	bruzda	ˈbruz.da		IN_WIKTIONARY
bostì	polish	bóść	buɕt͡ɕ		IN_WIKTIONARY
bòlna	polish	bɫona	ˈbwɔna	ˈbwɔna	SAME
bòlto	polish	bɫoto	ˈbwɔtɔ	ˈbwɔtɔ	SAME
bòrti sę	polish	bróć się	brut͡ɕ ɕɛ
bȏgъ	polish	bóg	buk		IN_WIKTIONARY
bȏlgo	polish	bɫogo	ˈbwɔɡɔ	ˈbwɔɡɔ	SAME
bolgъjь	polish	bɫogi	ˈbwɔɡʲi	ˈbwɔɡʲi	SAME
bȏlь	polish	ból	bul		IN_WIKTIONARY
bȏrgъ	polish	bróg	bruk		IN_WIKTIONARY
bȏrnь	polish	broń	brɔɲ		IN_WIKTIONARY
bȏrvъ	polish	browek	[ˈbrɔvɛk]		CORRECTED
bȏrъ	polish	bór	bur		IN_WIKTIONARY
bosъjь	polish	bosy	ˈbɔ.sɨ		IN_WIKTIONARY
bǫbьniti	polish	bębnić	ˈbɛm.bɲit͡ɕ		IN_WIKTIONARY
bǫbьnъ	polish	bęben	ˈbɛm.bɛn		IN_WIKTIONARY
brediti	polish	bredzić	ˈbrɛ.d͡ʑit͡ɕ		IN_WIKTIONARY
brězgъ	polish	brzask	bʐask		IN_WIKTIONARY
bridъkъjь	polish	brzydki	ˈbʐɨt.kʲi		IN_WIKTIONARY
brìtva	polish	brzytwa	ˈbʐɨ.tfa		IN_WIKTIONARY
brodìti	polish	brodzić	ˈbrɔ.d͡ʑit͡ɕ		IN_WIKTIONARY
brȏdъ	polish	bród	brut		IN_WIKTIONARY
brusьnica	polish	brusznica	bruʂˈɲit͡sa	bruʂˈɲit͡sa	SAME
bry	polish	brew	brɛf		IN_WIKTIONARY
brьdnǫti	polish	brnąć	brnɔɲt͡ɕ		IN_WIKTIONARY
brьvъnò	polish	bierwiono	bʲɛrˈvʲɔ.nɔ		IN_WIKTIONARY
bujьnъjь	polish	bujny	ˈbuj.nɨ		IN_WIKTIONARY
bùr̨a	polish	burza	[ˈbuʐa]		CORRECTED
bydlo	polish	bydɫo	[ˈbɨdwɔ]		CORRECTED
bytьje	polish	bycie	ˈbɨ.t͡ɕɛ		IN_WIKTIONARY
byvati	polish	bywać	ˈbɨ.vat͡ɕ		IN_WIKTIONARY
bystrъjь	polish	bystry	ˈbɨ.strɨ		IN_WIKTIONARY
bỳti	polish	być	bɨt͡ɕ
bādàti	polish	badać	ˈba.dat͡ɕ		IN_WIKTIONARY
būdìti	polish	budzić	ˈbu.d͡ʑit͡ɕ		IN_WIKTIONARY
būčàti	polish	buczeć	ˈbut͡ʂɛt͡ɕ
bъ̑rz	polish	bardzo	ˈbar.d͡zɔ		IN_WIKTIONARY
bьrati	polish	brać	brat͡ɕ		IN_WIKTIONARY
bьčelà	polish	pszczoɫa	ˈpʂt͡ʂɔwa	ˈpʂt͡ʂɔwa	SAME
cělovàti	polish	caɫować	t͡saˈwɔvat͡ɕ
cě̄dìti	polish	cedzić	ˈt͡sɛ.d͡ʑit͡ɕ		IN_WIKTIONARY
cě̄nà	polish	cena	ˈt͡sɛ.na		IN_WIKTIONARY
cě̄nìti	polish	cenić	ˈt͡sɛ.ɲit͡ɕ		IN_WIKTIONARY
celъjь	polish	caɫy	ˈt͡sawɨ	ˈt͡sawɨ	SAME
dalekъjь	polish	daleki	daˈlɛ.kʲi		IN_WIKTIONARY
davьnъjь	polish	dawny	ˈdav.nɨ		IN_WIKTIONARY
dàti	polish	dać	dat͡ɕ		IN_WIKTIONARY
