a	slovene	a	a	a	SAME
ajьce	slovene	jájce	jàːjt͡sɛ		IN_WIKTIONARY
ako	slovene	àkọ	âko	áko	DIFFERENT
akъ	slovene	jȃk	jáːk	jáːk	SAME
akъjь	slovene	jȃk	jáːk	jáːk	SAME
aviti	slovene	jáviti	[jǎːʋiti]		CORRECTED
avьnъ	slovene	jávǝn	[jǎːʋən]		CORRECTED
azъ	slovene	jàz	jâs	jàːs	DIFFERENT
aščerъ	slovene	jȃščerica	jáːʃt͡ʃɛrit͡sa	jáːʃt͡ʃɛrit͡sa	SAME
àgnę	slovene	jágnje	jàːɡnjɛ		IN_WIKTIONARY
àgnьcь	slovene	jȃgnǝc	jáːɡnǝt͡s	jáːɡnǝt͡s	SAME
àma	slovene	jáma	[jǎːma]		CORRECTED
ȁgoda	slovene	jágoda	jàːɡɔda		IN_WIKTIONARY
badlovati	slovene	balováti	balɔʋàːti	balɔʋàːti	SAME
bàjati	slovene	bájati	bàːjati	bàːjati	SAME
bàviti sę	slovene	báviti se	bàːʋiti sɛ	bàːʋiti sɛsɛ	DIFFERENT
bȁba	slovene	bába	bàːba		IN_WIKTIONARY
berstъ	slovene	brẹ́st	brèːst	brèːst	SAME
bèrdjь	slovene	brẹ́ja	brèːja	brèːja	SAME
bèrmę	slovene	bréme	[brɛ̌ːmɛ]		CORRECTED
bèrza	slovene	brẹ́za	brèːza		IN_WIKTIONARY
běžàti	slovene	bẹ́žati	bèːʒati	bèːʒati	SAME
bě̀gati	slovene	bẹ́gati	bèːɡati	bèːɡati	SAME
bě́lъ	slovene	bẹ́ɫ	bèːu̯	bèːʊ	DIFFERENT
bě̄dà	slovene	bẹ́da	bèːda		IN_WIKTIONARY
bě̑sъ	slovene	bẹ̑s	béːs	béːs	SAME
bȇrgъ	slovene	brẹ̑g	bréːk		IN_WIKTIONARY
bìdlo	slovene	bílọ	bǐːlo	bìːlo	DIFFERENT
bìti	slovene	bíti	bìːti		IN_WIKTIONARY
bìtva	slovene	bȋtva	[bîːtʋa]		CORRECTED
bìčь	slovene	bìč	bît͡ʃ	bə́t͡ʃ	DIFFERENT
blekъ	slovene	blę́k	blěːk	blèːk	DIFFERENT
blějati	slovene	blẹ́jati	blèːjati	blèːjati	SAME
blě̑dъ	slovene	blẹ̑d	blêːt	bléːt	DIFFERENT
blě̑skъ	slovene	blẹ̑sk	blêːsk	bléːsk	DIFFERENT
blęsti	slovene	blésti	blɛ̀ːsti		IN_WIKTIONARY
bliskъ	slovene	blȋsk	blíːsk	blíːsk	SAME
blǭdìti	slovene	blǫ́diti	blòːditi	blò̝ːditi	DIFFERENT
blǫ̑dъ	slovene	blǫ̑d	[blôːt]		CORRECTED
bl̨ьvàti	slovene	bljǝváti	bljǝʋàːti	bljàːʋàːti	DIFFERENT
blъxà	slovene	bóɫha	bɔ̌ːuxa	bɔ̀ːʊxa	DIFFERENT
blьščati	slovene	blẹ́ščati	blèːʃt͡ʃati	blèːʃt͡ʃati	SAME
bodàti	slovene	bọ̑dati	bóːdati	bóːdati	SAME
bodъlь	slovene	bȏdǝlj	bɔ́ːdəl	bɔ́ːdəlj	DIFFERENT
bogàtъ	slovene	bogàt	bɔɡàːt	bɔɡàːt	SAME
bojati sę	slovene	bojáti se	bɔjàːti sɛ	bɔjàːti sɛ	SAME
bojaznь	slovene	bojȃzǝn	bɔjáːzǝn	bɔjáːzən	DIFFERENT
bojь	slovene	bòj	bɔ̂i̯	bɔ́j	DIFFERENT
bolěti	slovene	bolẹ́ti	bɔlèːti		IN_WIKTIONARY
bolzìna	slovene	blazína	blazìːna	blazìːna	SAME
bol̨e	slovene	bọ̑lje	bóːljɛ		IN_WIKTIONARY
bol̨eje	slovene	bọ̑lje	bóːljɛ		IN_WIKTIONARY
bolьjьjь	slovene	bọ̑lji	bóːlji	bóːlji	SAME
bordatъ	slovene	bradàt	bradàːt	bradát	DIFFERENT
bordà	slovene	bráda	bràːda		IN_WIKTIONARY
borna	slovene	brána	bràːna		IN_WIKTIONARY
borzdà	slovene	brázda	bràːzda		IN_WIKTIONARY
bostì	slovene	bósti	bɔ̀ːsti		IN_WIKTIONARY
bòlna	slovene	blȃna	bláːna	bláːna	SAME
bòlto	slovene	blátọ	blǎːto	blàːto	DIFFERENT
bȍršьno	slovene	brášnọ	bràːʃno	bràːʃno	SAME
bȏgъ	slovene	bọ̑g	bóːk		IN_WIKTIONARY
bȏlgo	slovene	blagọ̑	blaɡóː		IN_WIKTIONARY
bȏlgъ	slovene	blȃg	bláːk		IN_WIKTIONARY
bȏlь	slovene	bȏɫ	bɔ́ːʋ	bɔ́ːʊ	DIFFERENT
bȏrnь	slovene	brȃn	bráːn		IN_WIKTIONARY
bȏrvъ	slovene	brȃv	bráːʋ	bráːʋ	SAME
bȏrъ	slovene	bọ̑r	bóːr	bóːr	SAME
bȏsъ	slovene	bọ̑s	bóːs	bóːs	SAME
bǫbьnъ	slovene	bǫ̑bǝn	bôːbǝn	bóːbən	DIFFERENT
brestì	slovene	brésti	brɛ̀ːsti		IN_WIKTIONARY
brězgъ	slovene	brẹ̑sk	bréːsk	bréːsk	SAME
bridъkъ	slovene	brídǝk	brìːdək	brìːt	DIFFERENT
brìti	slovene	bríti	brìːti	brìːti	SAME
brìtva	slovene	brȋtva	bríːtʋa	bríːtʋa	SAME
brodìti	slovene	bróditi	brɔ̌ːditi	brɔ̀ːditi	DIFFERENT
brȏdъ	slovene	brọ̑d	bróːt		IN_WIKTIONARY
brusьnica	slovene	brusníca	brusnìːt͡sa	brusnìːt͡sa	SAME
brysadlo	slovene	brisálọ	brisàːlo	brisàːl	DIFFERENT
brъstь	slovene	br̀st	bə̂rst	brəst	DIFFERENT
brъzda	slovene	bŕzda	[bə̌rzda]		CORRECTED
brьna	slovene	bŕna	bə̀rna	bə̀rna	SAME
brьnьje	slovene	bȓnje	bə́rnjɛ	bə́rnjɛ	SAME
brьvъnò	slovene	bȓvnọ	bə́rʋno	bə́rʋno	SAME
bujьnъ	slovene	bújǝn	bùːjən	bùːj	DIFFERENT
bùr̨a	slovene	búrja	bùːrja	bùːrja	SAME
bylьje	slovene	bȋlje	bíːljɛ	bíːljɛ	SAME
bytьje	slovene	bítje	bìːtjɛ	bìːtjɛ	SAME
byvati	slovene	bívati	bìːʋati	bìːʋati	SAME
bỳstrъ	slovene	bístǝr	bìːstər	bìːstər	SAME
bỳti	slovene	bíti	bìːti		IN_WIKTIONARY
būdìti	slovene	budíti	budìːti	budìːti	SAME
būčàti	slovene	búčat	bùːt͡ʃat	bùːt͡ʃat	SAME
bъděti	slovene	bǝdẹ́ti	bədèːti	bǝdèːti	DIFFERENT
bъrna	slovene	bŕna	bə̀rna	bə̀rna	SAME
bъ̑rz	slovene	br̀z	bə̂rs	brəs	DIFFERENT
bьrati	slovene	bráti	bràːti		IN_WIKTIONARY
bьčelà	slovene	bǝčę̑la	bə̂t͡ʃeːla	b͡ʃt͡ʃéːla	DIFFERENT
cè̌sta	slovene	cẹ́sta	t͡sèːsta		IN_WIKTIONARY
cělovàti	slovene	cẹlováti	t͡selɔʋàːti	t͡sèːlɔʋàːti	DIFFERENT
cěstiti	slovene	listje	listjɛ
cěvьnica	slovene	cẹ̑vnica	t͡séːʋnit͡sa	t͡séːʋnit͡sa	SAME
cě̄dìti	slovene	cẹdíti	t͡sedìːti	t͡sèːìːti	DIFFERENT
cě̄lìti	slovene	cẹ́liti	t͡sèːliti	t͡sèːliti	SAME
cě̄nà	slovene	cẹ́na	t͡sèːna		IN_WIKTIONARY
cě̄nìti	slovene	cẹ́niti	t͡sèːniti	t͡sèːniti	SAME
cě̄và	slovene	cẹ̑vka	t͡séːʋka	t͡séːʋka	SAME
cě̑lъ	slovene	cẹ̑ɫ	t͡séːu̯	t͡séː	DIFFERENT
cě̑vь	slovene	cẹ̑v	t͡séːʋ		IN_WIKTIONARY
da	slovene	dà	dâ	dá	DIFFERENT
dajati	slovene	dajáti	dajàːti	dajàːti	SAME
dalèkъ	slovene	dálek	dàːlɛk	dàːlɛk	SAME
davě	slovene	dávẹ	dàːʋ	dàːʋe	DIFFERENT
davьnъ	slovene	dávǝn	dǎːʋən	dàːʋǝn	DIFFERENT
dàti	slovene	dáti	dàːti		IN_WIKTIONARY
dȃnь	slovene	dȃn	dáːn		IN_WIKTIONARY
dȃrъ	slovene	dȃr	dáːr		IN_WIKTIONARY
debelъ	slovene	débeɫ	dɛ̀ːbɛu̯	dɛ̀ːbɛʊ	DIFFERENT
degъtь	slovene	dēgǝt	dɛ̀ːɡət	dèːɡǝt	DIFFERENT
deltò	slovene	dlẹ́tọ	dlèːto	dlèːto	SAME
dertì	slovene	drẹ́ti	drèːti	drèːti	SAME
desetъjь	slovene	desę́ti	dɛsěːti	dɛsèːti	DIFFERENT
devetъjь	slovene	devę́ti	dɛʋěːti	dɛʋèːti	DIFFERENT
dérnъ	slovene	drẹ̀n	drèːn	drèːn	SAME
dē̌žà	slovene	dę́ža	děːʒa	dèːʒa	DIFFERENT
dělati	slovene	dẹ́lati	dèːlati		IN_WIKTIONARY
děliti	slovene	dẹlíti	[delǐːti]		CORRECTED
dětę	slovene	dẹ́te	[děːtɛ]		CORRECTED
děti	slovene	dẹjáti	dejàːti	dejàːti	SAME
děvìca	slovene	dẹvíca	deːʋiːt͡sa	deʋìːt͡sa	DIFFERENT
dě̀dъ	slovene	dẹ̀d	dêt	dèːt	DIFFERENT
dě̀lo	slovene	dẹ́lọ	[děːlo]		CORRECTED
dě̀va	slovene	dẹ́va	dèːʋa	dèːʋa	SAME
dě̀verь	slovene	dẹvę̑r	deːʋeːr	déʋé̝ːr	DIFFERENT
dě́lъ	slovene	djal	djal	djal	SAME
dȅsętь	slovene	desę̑t	dɛsêːt	dɛséːt	DIFFERENT
dȅsnъ	slovene	dę́sǝn	děːsǝn	dèːs	DIFFERENT
dȅvętь	slovene	devę̑t	dɛʋenúːt	dɛʋéːt	DIFFERENT
dȇrvo	slovene	drẹvọ̑	dreːʋoː	dreʋóː	DIFFERENT
dętelъ	slovene	dę́tǝɫ	děːt	dè̝ːtǝʊ	DIFFERENT
divьnъ	slovene	dívǝn	dìːʋən	dìːʋǝn	DIFFERENT
do	slovene	dò	dɔ̂	dó	DIFFERENT
doba	slovene	dóba	dɔ̀ːba		IN_WIKTIONARY
