àma	ukrainian	jáma	ˈjɑmɐ
bagno	ukrainian	bahnó	bɐɦˈnɔ
bàjati	ukrainian	bájati	ˈbɑjɐtʲi
bàviti	ukrainian	baviti	bɐu̯ʲiˈtʲi	ˈbɑu̯ʲitʲ	DIFFERENT
bergtì	ukrainian	beregtý	bereˈɡtɪ
berstъ	ukrainian	bérest	ˈbɛrɛst
bèrdjь	ukrainian	beréža	beˈrɛʒɐ
bèrmę	ukrainian	beremja	bɛrɛˈmʲa	bereˈmʲɑ	DIFFERENT
bèrza	ukrainian	beréza	beˈrɛzɐ
bìdlo	ukrainian	býlo	ˈbɪɫɔ
blějati	ukrainian	bléjaty	ˈblɛjɐtɪ
bledъjь	ukrainian	blidýj	blʲiˈdɪi̯
blъxà	ukrainian	bloxá	blɔˈxɑ
blьknǫti	ukrainian	bléknuty	ˈblɛknʊte
blьščati	ukrainian	blyščáti	blɪˈʃt͡ʃɑtʲi
bojati sę	ukrainian	bojáty sja	bɔˈjɑte sʲɐ
bojь	ukrainian	bij	[ˈbʲii̯]		CORRECTED
bolěti	ukrainian	bolíty	boˈlʲitɪ
bolnьje	ukrainian	bolónja	boˈlɔnʲɐ
bordatъjь	ukrainian	borodátyj	bɔrɔˈdɑtei̯
bordà	ukrainian	borodá	bɔrɔˈdɑ
bordlo	ukrainian	borólo	bɔˈrɔlɔ
borna	ukrainian	boróna	bɔˈrɔnɐ
bòlna	ukrainian	bolóna	boˈlɔnɐ
bòrti	ukrainian	boróty	bɔˈrɔtɪ
bȍršьno	ukrainian	bórošno	ˈbɔrɔʃnɔ		IN_WIKTIONARY
bȏgъ	ukrainian	bih	[ˈbʲiɦ]		CORRECTED
bȏlь	ukrainian	bilʹ	ˈbʲilʲ
bȏrgъ	ukrainian	borig	ˈbɔrʲik	ˈbɔrʲiɡ	DIFFERENT
bȏrъ	ukrainian	bir	ˈbʲir	ˈbʲir	SAME
bosъjь	ukrainian	bósyj	ˈbɔsei̯
brediti	ukrainian	brediti	brɛditɪ	ˈbrɛdʲitʲi	DIFFERENT
brestì	ukrainian	brestý	breˈstɪ
bręždžati	ukrainian	brjazčáty	bʲrʲɐˈsʲt͡ʃɑte
brę̀knǫti	ukrainian	brjáknuty	ˈbrʲɑknʊte
brȏdъ	ukrainian	brid	ˈbrʲid	ˈbrʲid	SAME
brъstь	ukrainian	brostʹ	ˈbrɔsʲtʲ
bydlo	ukrainian	býdlo	ˈbɪdɫɔ
bādàti	ukrainian	badáty	bɐˈdɑte
bьrati	ukrainian	bráty	ˈbrɑte		IN_WIKTIONARY
