krěpъ	bcs	krȉjep	krîjep	krîjep
pasti	bcs	pȁsti	pâsti	pâsti
pri	bcs	pri	pri	pri
děvìca	bcs	djèvica	djěʋitsa	djěʋit͡sa
ěrostь	bcs	járōst	jǎːroːst	jǎːroːst
miglъ	bcs	màgla	mǎɡla	mǎɡla
nukati	bcs	nȕkati	nûkati	nûkati
bìti	bcs	bȉti	bîti	bîti
aščerъ	bcs	jȁster	jâster	jâster
monisto	bcs	monisto	monisto	monisto
perkъ	bcs	prȉjek	prîjek	prîjek
kъ	bcs	k(a)	ka	ka
kъn	bcs	k(a)	ka	ka
dajati	bcs	dajȁt	dajât	dajât
gъrnъ	bcs	grno	ɡrno	ɡrno
vě̀trъ	bcs	vjȅtar	ʋjêtar	ʋjêtar
zidъ	bcs	zȋd	zîːd	zîːd
brìti	bcs	brȉti	brîti	brîti
sьrna	bcs	sŕna	sřːna	sřːna
brusьnica	bcs	brùsnica	brǔsnitsa	brǔsnit͡sa
kl̨ùka	bcs	kljȕka	kʎûka	kʎûka
dъvogubъ	bcs	dvògub	dʋǒɡub	dʋǒɡub
sokъ	bcs	sȍk	sôk	sôk
děl̨a	bcs	dijel	dijel	dijel
klìknǫti	bcs	klȉknuti	klîknuti	klîknuti
virъ	bcs	vȋr	ʋîːr	ʋîːr
smьjàti	bcs	smìjati se	smǐjati	smǐjati
morvi	bcs	mrȃv	mrâːʋ	mrâːʋ
grьměti	bcs	gr̀mljeti	ɡřmʎeti	ɡř̩mʎeti
cè̌sta	bcs	cȅsta	tsêsta	t͡sêsta
dȃrъ	bcs	dȃr	dâːr	dâːr
mȍr̨e	bcs	mȍre	môre	môre
obrěsti	bcs	obresti	obresti	obresti
gròzdъ	bcs	grȏzd	ɡrôːzd	ɡrôːzd
sy̑nъ	bcs	sȋn	sîːn	sîːn
sě̑no	bcs	sȉjeno	sîjeno	sîjeno
medvě̀dь	bcs	mèdvjed	mědʋjed	mědʋjed
protivo	bcs	prȍtīv	prôtiːʋ	prôtiːʋ
gospodinъ	bcs	gospòdin	ɡospǒdin	ɡospǒdin
kȏstь	bcs	kȏst	kôːst	kôːst
ę̄trò	bcs	jȅtra	jêtra	jêtra
xorna	bcs	hrána	xrǎːna	xrǎːna
čuditi sę	bcs	čȕditi se	tʃûditi	tʃûditi se
lokati	bcs	lòkati	lǒkati	lǒkati
čь̀rnъ	bcs	cȓn	tsr̂ːn	t͡sr̂ːn
erębica	bcs	jerèbica	jerěbitsa	jerěbit͡sa
stogъ	bcs	stȏg	stôːɡ	stôːɡ
znamenьje	bcs	znȁmēnje	znâmeːɲe	znâmeːɲe
četvьrtъ	bcs	čètvȓtī	tʃětʋrːtiː	tʃětʋr̩ːtiː
čekati	bcs	čȅkati	tʃêkati	tʃêkati
vȏzъ	bcs	vȏz	ʋôːz	ʋôːz
žьzlъ	bcs	žèzlo	ʒězlo	ʒězlo
bȏrvъ	bcs	brȃv	brâːʋ	brâːʋ
grę̑zь	bcs	grȇz	ɡrêːz	ɡrêːz
jьmàti	bcs	ìmati	ǐmati	ǐmati
pa	bcs	po	po	po
grǫbъ	bcs	grȗb	ɡrûːb	ɡrûːb
dristati	bcs	drískati	drǐːskati	drǐːskati
bol̨e	bcs	bȍlje	bôʎe	bôʎe
brȏdъ	bcs	brȏd	brôːd	brôːd
sъn	bcs	s(a)	sa	sa
kotьcь	bcs	kòtac	kǒtats	kǒtat͡s
korỳto	bcs	kòrito	kǒrito	kǒrito
rìnǫti	bcs	rȉnuti	rînuti	rînuti
bě̑sъ	bcs	bȉjes	bîjes	bîjes
lišiti	bcs	líšit	lǐːʃit	lǐːʃit
mъrmiti	bcs	mrmljiti	mrmʎiti	mr̩mʎiti
emežь	bcs	jèmeš	jěmeʃ	jěmeʃ
pàǭkъ	bcs	pȁūk	pâuːk	pâuːk
lěviti	bcs	léviti	lěːʋiti	lěːʋiti
bràtъ	bcs	brȁt	brât	brât
glьjь	bcs	glȇj	ɡlêːj	ɡlêːi̯
nìščь	bcs	nȉšt	nîʃt	nîʃt
gńilъ	bcs	gnȉo	ɡnîo	ɡnîo
žę́dja	bcs	žȇđa	ʒêːdʑa	ʒêːdʑa
ęčьmy	bcs	jȅčmēn	jêtʃmeːn	jêtʃmeːn
gnusьnъ	bcs	gnȕsan	ɡnûsan	ɡnûsan
raditi	bcs	ráditi	rǎːditi	rǎːditi
govorìti	bcs	govòriti	ɡoʋǒriti	ɡoʋǒriti
greti	bcs	grèpsti	ɡrěpsti	ɡrěpsti
voldati	bcs	vládati	ʋlǎːdati	ʋlǎːdati
melzti	bcs	mȕsti	mûsti	mûsti
poltьnò	bcs	plátno	plǎːtno	plǎːtno
oldi	bcs	lȃđa	lâːdʑa	lâːdʑa
ǫtrь	bcs	unútar	unǔːtar	unǔːtar
lъža	bcs	làža	lǎʒa	lǎʒa
dīvìti	bcs	díviti se	dǐːʋiti	dǐːʋiti
mъždžiti	bcs	màžđiti	mǎʒdʑiti	mǎʑd͡ʑiti
ležàti	bcs	lèžati	lěʒati	lěʒati
kotìti sę	bcs	kòtiti (se)	kǒtiti	kǒtiti
mě̀sto	bcs	mjȅsto	mjêsto	mjêsto
lě̑sъ	bcs	lȉjes	lîjes	lîjes
malъkъ	bcs	mȁlak	mâlak	mâlak
ty	bcs	tȋ	tîː	tîː
klokotati	bcs	klokòtati	klokǒtati	klokǒtati
toliti	bcs	utòliti	utǒliti	utǒliti
gnȏjь	bcs	gnȏj	ɡnôːj	ɡnôːi̯
gorьkъ	bcs	górak	ɡǒːrak	ɡǒːrak
lȇdъ	bcs	lȇd	lêːd	lêːd
lunà	bcs	lúna	lǔːna	lǔːna
čьrvь	bcs	cȓv	tsr̂ːʋ	tsr̩̂ːʋ
bo	bcs	bo	bo	bo
nȏsъ	bcs	nȏs	nôːs	nôːs
