вилица	vilica	[vilʲit͡sa]
натоварване	natovarvane	/natɔˈvarvanɛ/
фъстъ̀к	fǎstǎ̀k	[fəˈstɤk]
шебо̀й	šebòj	[ʃeˈbɔj]
шибо̀й	šebòj	[ʃiˈbɔj]
вещер	vešter	/ˈvɛʃtɛr/
ракия	rakija	[raˈkʲija]
диамант	diamant	/diaˈmant/
тога̀вашен	togava	/tɔɡavaʃen/
турцизъм	turcizǎm	/ˌturˈt͡sizɤm/
синьо	sínjo	/ˈsinʲo/
зареждам	zaréždam	/zəˈrɛʒd̪əm/
безделнича	bezdélnicha	/bɛzˈd̪ɛɫnitʃə/
ноември	noémvri	/noˈɛmvri/
този	tózi	/ˈt̪ɔzi/
домета	dometá	/dɔmɛˈtə/
начета	nachetá	/nətʃɛˈt̪ɤ/
домитам	domítam	/dɔˈmitam/
начитам	nachítam	/nɐˈtʃit̪əm/
надонасям	nadonásyam	/nəd̪oˈnasʲəm/
ѝ	ì	[ˈi]
а	a	/a/
А	A	/a/
а... а...	a... a...	/a/
аба̀	abà	[ɐˈba]
абаджии	abadžíi	/ˌabəˈdʒii/
абаджиите	abadžíite	/ˌabəˈdʒi.it̪ɛ/
абаджѝйка	abadžìja	[əbɐdˈʒijkə]
абаджийката	abadžíjkata	/ˌabəˈd̪ʒijkət̪ə/
абаджийки	abadžíjki	/ˌabəˈd̪ʒijkʲi/
абаджийките	abadžíjkite	/ˌabəˈd̪ʒijkʲit̪ɛ/
абаджийко	abadžíjko	/ˌabəˈd̪ʒijko/
абаджийства	abadžíjstva	/ˌabəˈd̪ʒijst̪və/
абаджийствата	abadžíjstvata	/ˌabəˈd̪ʒijst̪vət̪ə/
абаджѝйство	abadžìja	[əbɐdˈʒijstvo]
абаджийството	abadžíjstvoto	/ˌabəˈd̪ʒijst̪vot̪o/
абаджѝя	abadžìja	[əbɐdˈʒijə]
абаджията	abadžíjata	/ˌabəˈdʒijət̪ə/
абажур	abažúr	/əbəˈʒur/
абажура	abažúra	/ˌabəˈʒuɾə/
абажуре	abažúre	/ˌabəˈʒuɾɛ/
абажури	abažúri	/ˌabəˈʒuɾi/
абажурите	abažúrite	/ˌabəˈʒuɾit̪ɛ/
абажурът	abažúrǎt	/ˌabəˈʒuɾət̪/
абазийо	abázijo	/ˌaˈbazijo/
абазия	abázija	/əˈbazijə/
абазията	abázijata	/ˌaˈbazijət̪ə/
абак	abák	/əˈbak/
абака	abáka	/ˌaˈbakə/
абако	abáko	/aˈbako/
