vъtorъkъ	bulgarian	vtórnik	ˈftɔrnik	ˈftɔrnik		
pьkъlo	bulgarian	pắkăl	pɐˈkɤɫ	ˈpɤkɐɫ		
lȏvъ	bulgarian	lov	lɔf	ˈlɔf		
solnà	bulgarian	slaná	slaˈna	slɐˈna		
bȏrnь	bulgarian	bran	bran	ˈbran		
gǫžьvь	bulgarian	gắžva	ɡɐˈʒva	ˈɡɤʒvɐ		
náglъ	bulgarian	nágăl	ˈnaɡəɫ	ˈnaɡɐɫ		
dьnьsь	bulgarian	dnes	ˈdnɛs	ˈdnɛs		
vetъxъ	bulgarian	vétxi	ˈvɛt̪i			
prȏstъ	bulgarian	prost	prɔst	ˈprɔst		
žùna	bulgarian	žúna	ˈʒunə	ˈʒunɐ		
dъnò	bulgarian	dắno	ˈdɤnɔ	ˈdɤno		
čȇrpъ	bulgarian	čérep	ˈtʃɛrɛp	ˈtʃɛrɛp		
olbodà	bulgarian	lóboda	ˈlɔbodə	ˈlɔbodɐ		
ȅzerъ	bulgarian	ézero	ˈɛzɛro	ˈɛzɛro		
l̨utiti	bulgarian	ljutjá	lʲuˈtʲa	ljuˈtja		
brę̀knǫti	bulgarian	brékna	ˈbrɛknə	ˈbrɛknɐ		
màslo	bulgarian	máslo	ˈmasɫo̝	ˈmasɫo		
bъrna	bulgarian	bắrna	barnə	ˈbɤrnɐ		
studènъ	bulgarian	studén	stuˈdɛn	stuˈdɛn		
prídъ	bulgarian	prídăt	ˈprid̪ət̪	ˈpridɐt		
grozьnъ	bulgarian	grózen	ˈɡrɔzɛn	ˈɡrɔzɛn		
gvě̄zdà	bulgarian	zvezdá	zvɛzˈda	zvɛzˈda		
nedǫ̀gъ	bulgarian	nedắg	nɛˈdɤk	nɛˈdɤk		
bedrò	bulgarian	bedró	bɛdˈrɔ	bɛdˈrɔ		
klokotati	bulgarian	klokòtati	kɫoˈkɔt̪ət̪i	kɫoˈkɔtɐti		
nozdr̨a	bulgarian	nózdra	ˈnɔzdrə	ˈnɔzdrɐ		
klasti	bulgarian	kladá	kɫɐˈd̪ɤ	kɫɐˈdɤ		
kotorъ	bulgarian	kótryj	ˈkɔtrij			
kypě̀ti	bulgarian	kipjá	kʲiˈpʲa	kiˈpjɤ		
gvozdi	bulgarian	gvózdej	ˈɡvɔzdɛj	ˈɡvɔzdɛj		
mьlčàti	bulgarian	mălčá	mɐɫˈtʃa	mɐɫˈtʃa		
gasnǫti	bulgarian	gásna	ˈɡasnə	ˈɡasnɐ		
kòlъ	bulgarian	kol	kɔl	ˈkɔl		
kvȃsъ	bulgarian	kvas	kvas	ˈkvas		
govorìti	bulgarian	govórja	ɡoˈvɔrʲə	ɡoˈvɔrjɐ		
posětiti	bulgarian	posetjá	po̝sɛˈtʲa	posɛˈtja		
kukati	bulgarian	kúkam	ˈkukəm	ˈkukɐm		
bùr̨a	bulgarian	búrja	ˈburʲə	ˈburjɐ		
kъjь	bulgarian	koj	kɔj	ˈkɔj		
otъvorìti	bulgarian	otvórja	ot̪ˈvɔrʲə	otˈvɔrjɐ		
vě̀jati	bulgarian	véja	ˈvɛjə	ˈvɛjɐ		
čędъ	bulgarian	čédo	ˈtʃɛd̪o̝	ˈtʃɛdo		
sęknǫti	bulgarian	sékna	ˈsɛknə	ˈsɛknɐ		
slàva	bulgarian	sláva	ˈsɫavə	ˈsɫavɐ		
pьcьlъ	bulgarian	pắkăl	pɐˈkɤɫ	ˈpɤkɐɫ		
mǫ̀ka	bulgarian	mắka	ˈmɤkə	ˈmɤkɐ		
grebenь	bulgarian	grében	ˈɡrɛbɛn	ˈɡrɛbɛn		
bě̑sъ	bulgarian	bjas	bʲas	ˈbjas		
vь̑lkъ	bulgarian	vălk	vɤlk	ˈvɤɫk		
pętà	bulgarian	petá	pɛˈta	pɛˈta		
vòrna	bulgarian	vrána	ˈvranə	ˈvranɐ		
edìnъ	bulgarian	edín	ɛˈdin	ɛˈdin		
orsti	bulgarian	rastá	rəsˈta	rɐsˈta		
košarъ	bulgarian	košára	koˈʃarə	koˈʃarɐ		
nevodъ	bulgarian	névod	ˈnɛvod̪	ˈnɛvot		
gnusьnъ	bulgarian	gnúsăn	ˈɡnusən	ˈɡnusɐn		
ěrina	bulgarian	járina	ˈjarinə	ˈjarinɐ		
lomìti	bulgarian	lomjá	loˈmʲa	loˈmja		
gȏrdъ	bulgarian	grad	ɡrat	ˈɡrat		
voskъ	bulgarian	vósăk	ˈvɔsək	ˈvɔsɐk		
klěšča	bulgarian	kléšti	ˈklɛʃti	ˈklɛʃti		
mъlva	bulgarian	mălvá	mɐɫˈvɤ	mɐɫˈvɤ		
sněgъ	bulgarian	snjag	snʲak	snjak		
krupьnъ	bulgarian	krúpen	ˈkrupɛn	ˈkrupɛn		
čȋnъ	bulgarian	čin	tʃin	ˈtʃin		
orǫdьje	bulgarian	orắdie	oroˈdiɛ	oˈrɤdiɛ		
plàvati	bulgarian	plávam	ˈpɫavəm	ˈpɫavɐm		
pьrvъ	bulgarian	părvi	pɐrvi	ˈpɤrvi		
gruda	bulgarian	grúda	ˈɡrud̪ə	ˈɡrudɐ		
krǫ̑gъ	bulgarian	krăg	krɤɡ	ˈkrɤk		
palьcь	bulgarian	pálec	ˈpalɛt͡s	ˈpalɛt͡s		
studъ	bulgarian	stud	stut	ˈstut		
vьrěti	bulgarian	vrja	vrʲa	ˈvrja		
mьrznǫti	bulgarian	mrắzna	mruˈzna	ˈmrɤznɐ		
poìti	bulgarian	pojá	poˈja	poˈjɤ		
pjьvàti	bulgarian	pljúja	ˈplʲujə	ˈpljujɐ		
sъn	bulgarian	s(ăs)	sɤs	sɤs		
mestì	bulgarian	metá	mɛˈt̪ɤ	mɛˈtɤ		
svinьjà	bulgarian	svinjá	sviˈnʲa	sviˈnja		
grǫdъ	bulgarian	grúda	ˈɡrud̪ə	ˈɡrudɐ		
rebrò	bulgarian	rebró	rɛˈbrɔ	rɛˈbrɔ		
ledva	bulgarian	edvá	ɛdˈva	ɛdˈva		
gȏlsъ	bulgarian	glas	ɡlas	ˈɡlas		
sъxnǫti	bulgarian	sắxna	ˈsɤxna	ˈsɤxnɐ		
cě̄nà	bulgarian	cená	t͡sɛˈna	t͡sɛˈna		
mȋgъ	bulgarian	mȋg	mik	ˈmik		
edьnakъ	bulgarian	edín	ɛˈdin	ɛˈdin		
slìva	bulgarian	slíva	ˈslivə	ˈslivɐ		
mogti	bulgarian	móga	ˈmɔɡə	ˈmɔɡɐ		
gròzdъ	bulgarian	grozd	ɡrost	ˈɡrost		
svě̑tъ	bulgarian	svjat	svʲat̪	ˈsvjat		
dvòrъ	bulgarian	dvor	dvɔr	ˈdvɔr		
kòlda	bulgarian	kláda	ˈkɫad̪ə	ˈkɫadɐ		
v̀ydra	bulgarian	vídra	ˈvidrə	ˈvidrɐ		
krěpъkъ	bulgarian	krépăk	ˈkrɛpək	ˈkrɛpɐk		
gràbiti	bulgarian	grábja	ˈɡrabʲə	ˈɡrabjɐ		
medjà	bulgarian	meždá	mɛʒˈd̪a	mɛʒˈda		
nāròdъ	bulgarian	naród	nɐˈrɔd̪	nɐˈrɔt		
glъtati	bulgarian	gắltam	ɡɤlˈtm	ˈɡɤltɐm		
grobъ	bulgarian	grob	ɡrɔp	ˈɡrɔp		
vỳmę	bulgarian	víme	ˈvimɛ	ˈvimɛ		
mъrmrati	bulgarian	mărmórja	mrɐrˈmɔrʲə	mɐrˈmɔrjɐ		
viti	bulgarian	víja	ˈvijə	ˈvijɐ		
ęčati	bulgarian	ečá	ɛˈtʃa	ɛˈtʃa		
lěgati	bulgarian	ljágam	ˈlʲaɡəm	ˈljaɡɐm		
ȏsь	bulgarian	os	ˌɔs	ˈɔs		
pȏtъ	bulgarian	pot	pɔt	ˈpɔt		
čìstъ	bulgarian	čist	t͡ʃist̪	ˈt͡ʃist		
dāvàti	bulgarian	dávam	ˈdavəm	ˈdavɐm		
vòn̨a	bulgarian	vonjá	voˈnʲa	voˈnja		
erębica	bulgarian	érebica	ˈɛrɛbit͡sə	ˈɛrɛbit͡sɐ		
bьčelà	bulgarian	pčelá	ptʃɛˈla	ptʃɛˈla		
borzdà	bulgarian	brazdá	brəzˈda	brɐzˈda		
sìla	bulgarian	síla	ˈsilə	ˈsilɐ		
tr̨ьje	bulgarian	tri	tri	ˈtri		
mękъkъ	bulgarian	mek	ˈmɛk	ˈmɛk		
rě̄kà	bulgarian	reká	rɛˈkɤ	rɛˈkɤ		
gāsìti	bulgarian	gasjá	ɡaˈsʲa	ɡɐˈsjɤ		
belnovati	bulgarian	blenúvam	blɛˈnuvəm	blɛˈnuvɐm		
beleniti	bulgarian	blenúvam	blɛˈnuvəm	blɛˈnuvɐm		
motyka	bulgarian	motíka	moˈt̪ikə	moˈtikɐ		
gǫžьva	bulgarian	gắžva	ɡɐˈʒva	ˈɡɤʒvɐ		
glę̀dati	bulgarian	glédam	ˈɡlɛdəm	ˈɡlɛdɐm		
elenъ	bulgarian	jelén	jɛˈlɛn	jɛˈlɛn		
xoditi	bulgarian	xódja	ˈɔdʲa	ˈɔdjɐ		
ȍpakъ	bulgarian	ópak	ˈɔpək	ˈɔpɐk		
orě̀xъ	bulgarian	órex	ˈɔɾɛ	ˈɔɾɛx		
greti	bulgarian	grebá	ɡrɛˈbɤ	ɡrɛˈbɤ		
govę̀do	bulgarian	govédo	ɡoˈvɛd̪o̝	ɡoˈvɛdo		
svě̄tjà	bulgarian	svešt	svɛʃt	ˈsvɛʃt		
gadati	bulgarian	gadája	ɡəˈdajə	ɡɐˈdajɐ		
ȇ̌dъ	bulgarian	jad	jat	ˈjat		
ě̀to	bulgarian	játo	ˈjato	ˈjato		
pȇktь	bulgarian	pešt	pɛʃt̪	ˈpɛʃt		
kolti	bulgarian	kólja	ˈkɔlʲə	ˈkɔljɐ		
glìna	bulgarian	glína	ˈɡlinə	ˈɡlinɐ		
gǫgniti	bulgarian	găgnív	ɡəɡˈnif	ɡɐɡˈnif		
bьlnika	bulgarian	buníka	buˈnikə	buˈnikɐ		
lozà	bulgarian	lozá	loˈza	loˈza		
rě̑čь	bulgarian	reč	rɛtʃ	ˈrɛtʃ		
smȏrdъ	bulgarian	smrad	smrat	ˈsmrat		
ȍlkъtь	bulgarian	lákăt	ˈlakət̪	ˈlakɐt		
òlni	bulgarian	álne	ˈalnɛ			
mlinъ	bulgarian	mlin	mlin	ˈmlin		
lysъ	bulgarian	lis	liˈs	ˈlis		
bolěti	bulgarian	bolí	boˈli	boˈljɤ	Derksen gives a 3rd sg as the first form probably to clarify the inflectional class	
ebàti	bulgarian	jebá	jɛˈba	jɛˈba		
nejęsytь	bulgarian	nésit	ˈnɛsit̪	ˈnɛsit		
desętъ	bulgarian	deséti	d̪ɛˈsɛt̪i	dɛˈsɛti		
prosterti	bulgarian	prostrá	proˈst̪rɤ			
vȅčerъ	bulgarian	véčer	ˈvɛtʃɛr			
bȏrvъ	bulgarian	brav	brav			
govьnò	bulgarian	govnó	ɡoˈvnɔ			
pьkъlъ	bulgarian	pắkăl	pɐˈkɤɫ			
akъ	bulgarian	jakyj	ˈjakʲi			
čьrpati	bulgarian	čérpja	ˈtʃɛrpʲə			
glěnъ	bulgarian	glen	ɡlɛn			
xvórstъ	bulgarian	xrast	xrast			
ȍpaky	bulgarian	ópak	ˈɔpək			
brodìti	bulgarian	bródja	ˈbrɔdʲə			
oborъ	bulgarian	obór	oˈbɔr			
mъnogъ	bulgarian	mnógo	ˈmnɔɡo			
dъxъ	bulgarian	dăx	dɤx			
sě̀mę	bulgarian	séme	ˈsɛmɛ			
mokrъ	bulgarian	mókăr	ˈmɔkər			
mȏzgъ	bulgarian	mózăk	ˈmɔzək			
solvьjь	bulgarian	slávej	ˈslavɛj			
koprъ	bulgarian	kópăr	ˈkɔpər			
dъ̑lgъ	bulgarian	dălg	dalɡ			
obuti	bulgarian	obúja	oˈbujə			
pràvъ	bulgarian	prav	prav			
dьly	bulgarian	délva	ˈd̪ɛɫvə			
krojiti	bulgarian	krojá	kroˈja			
belnъ	bulgarian	bljan	ˈblʲan			
esètra	bulgarian	esétra	ɛˈsɛtrə			
bedra	bulgarian	bedró	bɛdˈrɔ			
čuditi	bulgarian	čúdja	ˈtʃudʲə			
tъrgati	bulgarian	tắrgam	turɡam			
čùti	bulgarian	čúja	ˈtʃujə			
gorěti	bulgarian	gorjá	ɡoˈrʲa			
pòlxъ	bulgarian	plax	plax			
morъ	bulgarian	mor	mɔr			
melti	bulgarian	mélja	ˈmɛlʲə			
borna	bulgarian	brána	ˈbranə			
driskati	bulgarian	drískam	ˈdriskəm			
lunà	bulgarian	luná	luˈna			
muzga	bulgarian	múzga	ˈmuzgə			
ostь̀nъ	bulgarian	ostén	osˈtɛn			
solvikъ	bulgarian	slávej	ˈslavɛj			
kъlkъ	bulgarian	kắlka	ˈkɤlka			
vȏrnъ	bulgarian	vran	vran			
měniti	bulgarian	menjá	mɛˈnʲa			
mižati	bulgarian	mižá	miˈʒa			
màlъ	bulgarian	mal	ˈmaɫ			
zȏrkъ	bulgarian	zrak	zrak			
ne	bulgarian	ne	nɛ			
ękati	bulgarian	écam	ˈɛt͡səm			
pelna	bulgarian	pelená	pɛlɛˈna			
sě̑no	bulgarian	senó	sɛˈnɔ			
kopati	bulgarian	kopája	koˈpajə			
zьrěti	bulgarian	zra	zrɤ			
kolě̀no	bulgarian	koljáno	koˈlʲano̝			
lošь	bulgarian	loš	ɫəʃ			
duplь	bulgarian	dúpli	ˈd̪upli			
àblъ	bulgarian	jáblo	ˈjablo			
bòrti	bulgarian	bórja	ˈbɔrʲə			
kȏsъ	bulgarian	kos	ˈkɔs			
dročiti	bulgarian	dróča	ˈd̪rɔtʃə			
àblъko	bulgarian	jábălka	ˈjabəɫkə			
čakati	bulgarian	čákam	ˈtʃakəm			
piskarь	bulgarian	piskál	pisˈkaɫ			
dojìti	bulgarian	dojá	d̪oˈja			
pъtìca	bulgarian	ptíca	ˈptit͡sə			
lě̀to	bulgarian	ljáto	ˈlʲato			
ěrę	bulgarian	járe	ˈjarɛ			
košara	bulgarian	košára	koˈʃarə			
mьgà	bulgarian	măglá	mɐˈɡɫa			
nòvъ	bulgarian	nov	nɔf			
dȇrvo	bulgarian	derévo	dɛˈrɛvo̝			
zelènъ	bulgarian	zelén	zɛˈlɛn			
blistati	bulgarian	bljáskam	ˈblʲaskəm			
teslò	bulgarian	teslá	tɛˈsɫa			
kòn̨ь	bulgarian	kon	kɔn			
nùdja	bulgarian	núžda	ˈnuʒd̪ə			
kašьl̨ati	bulgarian	kášlja	ˈkaʃlʲə			
bìtva	bulgarian	bitva	ˈbit̪və			
sъpati	bulgarian	spja	spʲa			
slàbъ	bulgarian	slab	slap			
ȁgoda	bulgarian	jágoda	ˈjaɡodə			
pьsàti	bulgarian	píša	ˈpiʃə			
globìti	bulgarian	globjá	ɡɫoˈbʲɤ			
mavati	bulgarian	mája	ˈmajə			
virъ	bulgarian	vir	vir			
mě̑xъ	bulgarian	mjax	ˈmʲax			
dȏmъ	bulgarian	dom	dɔm			
golěmъ	bulgarian	goljám	ɡoˈʎam			
blizъkъ	bulgarian	blízăk	ˈblizək			
velě̀ti	bulgarian	vélja	ˈvɛlʲə			
arьmò	bulgarian	jarém	jəˈrɛm			
mъldni	bulgarian	mắlnija	ˈmɤɫnijə			
velìkъ	bulgarian	velík	vɛˈlik			
sěděti	bulgarian	sedjá	sɛˈdʲɤ			
edъvà	bulgarian	edvá	ɛdˈva			
brusьnica	bulgarian	brusníca	brusˈnit͡sə			
pȳtàti	bulgarian	pítam	ˈpit̪əm			
gramada	bulgarian	gramáda	ɡrɐˈmad̪ə			
klęčati	bulgarian	klečá	klɛˈtʃa			
govorъ	bulgarian	góvor	ˈɡɔvor			
šȇstъ	bulgarian	šésti	ˈʃɛsti			
stornà	bulgarian	straná	straˈna			
kry	bulgarian	krăv	krɤf			
ȇdlь	bulgarian	jelá	jɛˈɫa			
otъ	bulgarian	ot	ɔt̪			
otvorìti	bulgarian	otvórja	ot̪ˈvɔrʲə			
gubìti	bulgarian	gúbja	ˈɡubʲə			
kǫtja	bulgarian	kắšta	ˈkɔʃtə			
