oklam	[ˈoklam]
klamme	[ˈklamɛ]
klamte	[ˈklamtɛ]
klamy	[ˈklamɪ]
klame	[ˈklamɛ]
klamů	[ˈklamuː]
klamu	[ˈklamu]
hlavy	[ˈɦlavɪ]
hlav	[ˈɦlaf]
víc hlav víc ví	[viːt͡s ɦlaf viːt͡s viː]
poháre	[ˈpoɦaːrɛ]
zápěstí	[ˈzaːpjɛsciː]
chobotnice	[ˈxobotɲɪt͡sɛ]
metrosexuál	[ˈmɛtrosɛksuaːl]
hodně štěstí!	[ɦodɲɛ ʃcɛsciː]
dobrou noc	[dobrou̯ not͡s]
děkuji	[ˈɟɛkujɪ]
babička	/ˈbabɪt͡ʃka/
Kolumbie	[ˈkolumbɪjɛ]
Kolik je hodin?	[kolɪk jɛ ɦoɟɪn]
-a	[ˈa]
a	/a/
a podobně	[a podobɲɛ]
a posteriori	/ʔaː pɔstɛrɪʲɔːrɪ/
a tak dále	[a tak daːlɛ]
...a tečka!	[a tɛt͡ʃka]
abakus	[ˈabakus]
abatyše	/abatɪʃɛ/
Abcházie	[ˈapxaːzɪɛ]
abchazský	[ˈapxaskiː]
abcházský	[ˈapxaːskiː]
abcházština	[ˈapxaːsʃcɪna]
Abdiáš	[ˈabɟɪaːʃ]
abdikace	[ˈabdɪkat͡sɛ]
abdikovat	[ˈabdɪkovat]
abdominální	[ˈabdomɪnaːlɲiː]
Abdon	[ˈabdon]
abeceda	[ˈabɛt͡sɛda]
abecední	[ˈabɛt͡sɛdɲiː]
abelovská grupa	[abɛlofskaː ɡrupa]
abelovský	[ˈabɛlofskiː]
Abidžan	[ˈabɪdʒan]
abiotický	[ˈabɪocɪt͡skiː]
ablace	[ˈablat͡sɛ]
ablativ	/ablatɪf/
abnormální	[ˈabnormaːlɲiː]
abolicionismus	[ˈabolɪt͡sɪoɲɪzmus]
Abraham	[ˈabraɦam]
Abrahám	[ˈabraɦaːm]
Abrahamův	[ˈabraɦamuːf]
abrakadabra	[ˈabrakadabra]
abreakce	[ˈabrɛakt͡sɛ]
absces	[ˈapst͡sɛs]
absence	[ˈapsɛnt͡sɛ]
absint	[ˈapsɪnt]
absinth	[ˈapsɪnt]
absolutismus	[ˈapsolutɪzmus]
absolutní	[ˈapsolutɲiː]
absolutní frekvence	[apsolutɲiː frɛkvɛnt͡sɛ]
absolutní hodnota	[apsolutɲiː ɦodnota]
absolutní teplota	[apsolutɲiː tɛplota]
absolutní četnost	[apsolutɲiː t͡ʃɛtnost]
absolvent	[ˈapsolvɛnt]
absolventský	[ˈapsolvɛntskiː]
absolvovat	[ˈapsolvovat]
absorbovat	[ˈapsorbovat]
absorpce	[ˈapsorpt͡sɛ]
abstinent	[ˈapstɪnɛnt]
abstrahovat	[ˈapstraɦovat]
abstrakce	[ˈapstrakt͡sɛ]
abstrakt	[ˈapstrakt]
abstraktní	[ˈapstraktɲiː]
abstraktum	[ˈapstraktum]
absurdita	[ˈapsurdɪta]
absurdní	[ˈapsurdɲiː]
absurdnost	[ˈapsurdnost]
absurdně	[ˈapsurdɲɛ]
absťák	[ˈapscaːk]
aby	[ˈabɪ]
abych	/ˈabɪx/
-ace	[ˈat͡sɛ]
acetaldehyd	[ˈat͡sɛtaldɛɦɪt]
acetaminofen	[ˈat͡sɛtamɪnofɛn]
acetát	[ˈat͡sɛtaːt]
acetazolamid	[ˈat͡sɛtazolamɪt]
acetylcholin	[ˈat͡sɛtɪlxolɪn]
acetylén	[ˈat͡sɛtɪlɛːn]
achát	[ˈaxaːt]
Achilles	[ˈaxɪlɛs]
Achillův	[ˈaxɪluːf]
Achilova pata	[axɪlova pata]
achirální	[ˈaxɪraːlɲiː]
acidita	[ˈat͡sɪdɪta]
acidóza	[ˈat͡sɪdoːza]
acinární	[ˈat͡sɪnaːrɲiː]
acyklický	[ˈat͡sɪklɪt͡skiː]
Áda	[ˈaːda]
Adam	[ˈadam]
Adamec	[ˈadamɛt͡s]
Adámek	[ˈadaːmɛk]
Adamův	/ˈadamuːf/
adaptace	/ˈadaptat͡sɛ/
adaptér	[ˈadaptɛːr]
adaptovat	[ˈadaptovat]
adekvátní	[ˈadɛkvaːtɲiː]
Adéla	[ˈadɛːla]
Adélin	[ˈadɛːlɪn]
Adélka	[ˈadɛːlka]
adenin	[ˈadɛnɪn]
adenohypofýza	[ˈadɛnoɦɪpofiːza]
adenokarcinom	[ˈadɛnokart͡sɪnom]
adenom	[ˈadɛnom]
adenozin	[ˈadɛnozɪn]
adheze	/adɦɛzɛ/
adikce	[ˈadɪkt͡sɛ]
Adina	[ˈaɟɪna]
aditivum	[ˈadɪtɪvum]
adjektivní	[ˈadjɛktɪvɲiː]
adjektivum	[ˈadjɛktɪvum]
adjuvantní	[ˈadjuvantɲiː]
administrativa	[ˈadmɪnɪstratɪva]
administrativní	[ˈadmɪnɪstratɪvɲiː]
administrátor	[ˈadmɪnɪstraːtor]
admirál	[ˈadmɪraːl]
adolescence	[ˈadolɛst͡sɛnt͡sɛ]
adolescent	[ˈadolɛst͡sɛnt]
adolescentní	[ˈadolɛst͡sɛntɲiː]
Adolf	[ˈadolf]
Adolfek	[ˈadolfɛk]
adopce	[ˈadopt͡sɛ]
adoptovat	/ˈadoptovat/
adorant	[ˈadorant]
adrenalin	[ˈadrɛnalɪn]
adrenergní	[ˈadrɛnɛrɡɲiː]
adresa	/ˈadrɛsa/
adresát	[ˈadrɛsaːt]
adresář	[ˈadrɛsaːr̝̊]
adresovat	[ˈadrɛsovat]
adresový prostor	[adrɛsoviː prostor]
adstringentní	[ˈatstrɪŋɡɛntɲiː]
advent	[ˈadvɛnt]
adventní	[ˈadvɛntɲiː]
adverbiální	[ˈadvɛrbɪaːlɲiː]
advokát	[ˈadvokaːt]
aerobik	[ˈaɛrobɪk]
aerobní	[ˈaɛrobɲiː]
aerodynamicky	[ˈaɛrodɪnamɪt͡skɪ]
aerodynamický	[ˈaɛrodɪnamɪt͡skiː]
aerodynamika	[ˈaɛrodɪnamɪka]
aerolinie	[ˈaɛrolɪnɪjɛ]
aerolinka	[ˈaɛrolɪŋka]
aerolinky	[ˈaɛrolɪŋkɪ]
aerologický	[ˈaɛroloɡɪt͡skiː]
aerologie	[ˈaɛroloɡɪjɛ]
aerosol	[ˈaɛrosol]
aerosolový	[ˈaɛrosoloviː]
afázie	[ˈafaːzɪjɛ]
afekce	[ˈafɛkt͡sɛ]
