		pięść		pjej̃ɕt͡ɕ	
pàra	polish	para	ˈpara	ˈpara	
nȏktь	polish	noc	nɔt͡s	ˈnɔt͡s	
rebrò	polish	żebro	ˈʐɛbrɔ	ˈʐɛbrɔ	
kadìdlo	polish	kadzidɫo	kaˈd͡ʑidwɔ	kaˈd͡ʑidwɔ	
gȏlsъ	polish	gɫos	ɡwɔs	ˈɡwɔs	
mę̑so	polish	mięso	ˈmʲɛ̃sɔ	ˈmʲɛw̃sɔ	
sě̀jati	polish	siać	ɕat͡ɕ	ˈɕat͡ɕ	
zěvati	polish	ziewać	ˈʑɛvat͡ɕ	ˈʑɛvat͡ɕ	
bȏrъ	polish	bór	bur	ˈbur	
glezna	polish	glozna	ˈɡlɔzna	ˈɡlɔzna	
pỳrъ	polish	perz	pɛʂ	ˈpɛʂ	
zeml̨à	polish	ziemia	ˈʑɛmʲa	ˈʑɛmʲa	
i	polish	i	i	i	
zębnǫti	polish	ziębnąć	ˈʑɛmbnɔɲt͡ɕ	ˈʑɛmbnɔɲt͡ɕ	
l̨ubъ	polish	luby	ˈlubɨ	ˈlubɨ	
čàsъ	polish	czas	t͡ʂas	ˈt͡ʂas	
nȇrstь	polish	mrzost	mʐɔst	ˈmʐɔst	
sъdòrvъ	polish	zdrowy	ˈzdrɔvɨ	ˈzdrɔvɨ	
čь̑stь	polish	cześć	t͡ʂɛɕt͡ɕ	ˈt͡ʂɛɕt͡ɕ	
ako	polish	jako	ˈjakɔ	ˈjakɔ	
černь	polish	trzon	tʂɔn	ˈtʂɔn	
bo	polish	bo	bɔ	bɔ	
kokošь	polish	kokosz	ˈkɔkɔʂ	ˈkɔkɔʂ	
grěti	polish	grzać	ɡʐat͡ɕ	ˈɡʐat͡ɕ	
kamy	polish	kamień	ˈkamʲɛɲ	ˈkamʲɛɲ	
pǫkъ	polish	pęk	pɛŋk	ˈpɛŋk	
lonò	polish	ɫono	ˈwɔnɔ	ˈwɔnɔ	
ěrъ	polish	jary	ˈjarɨ	ˈjarɨ	
voldati	polish	wɫadać	ˈvwadat͡ɕ	ˈvwadat͡ɕ	
làziti	polish	ɫazić	ˈwaʑit͡ɕ	ˈwaʑit͡ɕ	
dь̑nь	polish	dzień	d͡ʑɛɲ	ˈd͡ʑɛɲ	
dòrga	polish	droga	ˈdrɔɡa	ˈdrɔɡa	
glǫbòkъ	polish	gɫęboki	ɡwɛmˈbɔkʲi	ɡwɛmˈbɔkʲi	
lě̑pъ	polish	lep	lɛp	ˈlɛp	
maniti	polish	mamić	ˈmamʲit͡ɕ	ˈmamʲit͡ɕ	
mogtь	polish	moc	mɔt͡s	ˈmɔt͡s	
okъnò	polish	okno	ˈɔknɔ	ˈɔknɔ	
medvě̀dь	polish	miedźwiedź	ˈmʲɛd͡ʑvʲɛt͡ɕ	ˈmʲɛd͡ʑvʲɛt͡ɕ	
gorьjь	polish	gorszy	ˈɡɔrʂɨ	ˈɡɔrʂɨ	
drъ̏vo	polish	drwa	drva	ˈdrva	
sanь	polish	sanie	ˈsaɲɛ	ˈsaɲɛ	MM
čèznǫti	polish	czeznąć	ˈt͡ʂɛznɔɲt͡ɕ	ˈt͡ʂɛznɔɲt͡ɕ	
tretь	polish	trzeci	ˈtʂɛt͡ɕi	ˈtʂɛt͡ɕi	
pręsti	polish	prząść	pʂɔ̃ɕt͡ɕ	ˈpʂɔw̃ɕt͡ɕ	
àblъka	polish	jabɫko	ˈjabwkɔ	ˈjabwkɔ	
zěnica	polish	źrenica	ʑrɛˈɲit͡sa	ʑrɛˈɲit͡sa	
àbolnь	polish	jabɫoń	ˈjabwɔɲ	ˈjabwɔɲ	
kogъda	polish	kiedy	ˈkʲɛdɨ	ˈkʲɛdɨ	
sérn̨ь	polish	szron	ʂrɔn	ˈʂrɔn	
směxъ	polish	śmiech	ɕmʲɛx	ˈɕmʲɛx	
gojiti	polish	goić	ˈɡɔit͡ɕ	ˈɡɔit͡ɕ	goić
letěti	polish	lecieć	ˈlɛt͡ɕɛt͡ɕ	ˈlɛt͡ɕɛt͡ɕ	
ǫdìti	polish	wędzić	ˈvɛɲd͡ʑit͡ɕ	ˈvɛɲd͡ʑit͡ɕ	
tvь̑rdъ	polish	twardy	ˈtfardɨ	ˈtfardɨ	
orǫdьje	polish	orędzie	ɔˈrɛɲd͡ʑɛ	ɔˈrɛɲd͡ʑɛ	
ězda	polish	jazda	ˈjazda	ˈjazda	
blǫ̑dъ	polish	bɫąd	bwɔnt	ˈbwɔnt	
bȏrvъ	polish	browek	ˈbrɔvɛk	ˈbrɔvɛk	
kȃlъ	polish	kaɫ	kaw	ˈkaw	
