метража́ми	metražámi	[mʲɪtrɐˈʐamʲɪ]
адсорби́ровало	adsorbírovalo	[ɐt͡ssɐrˈbʲirəvələ]
вяжи́те	vjažíte	[vʲɪˈʐɨtʲe]
сноси́ло	snosílo	[snɐˈsʲilə]
аперту́ре	apertúre	[ɐpʲɪrˈturʲe]
реклами́руем	reklamírujem	[rʲɪklɐˈmʲirʊ(j)ɪm]
переска́занные	pereskázannyje	[pʲɪrʲɪˈskazən(ː)ɨje]
отрыва́лся	otryválsja	[ɐtrɨˈvals⁽ʲ⁾ə]
богоро́дица	bogoródica	[bəɡɐˈrodʲɪt͡sə]
рейх	rejx, rɛjx	[rʲejx]
внутрисекрето́рные	vnutrisekretórnyje	[vnʊˌtrʲisʲɪkrʲɪˈtornɨje]
теря́в	terjáv	[tʲɪˈrʲaf]
африкани́стах	afrikanístax	[ɐfrʲɪkɐˈnʲistəx]
пророни́ть	proronítʹ	[prərɐˈnʲitʲ]
гонг	gong	[ɡonk]
окре́пните	okrépnite	[ɐˈkrʲepnʲɪtʲe]
абрази́вности	abrazívnosti	[ɐbrɐˈzʲivnəsʲtʲɪ]
промчу́сь	promčúsʹ	[prɐmˈt͡ɕʉsʲ]
недержа́ниях мочи́	nederžánijax močí	[nʲɪdʲɪrˈʐanʲɪjəx mɐˈt͡ɕi]
вспы́хивали	vspýxivali	[ˈfspɨxʲɪvəlʲɪ]
нома́дах	nomádax	[nɐˈmadəx]
Хама́с	Xamás	[xɐˈmas]
свечника́м	svečnikám	[svʲɪt͡ɕnʲɪˈkam]
вознагражда́вший	voznagraždávšij	[vəznəɡrɐʐˈdafʂɨj]
киножурна́л	kinožurnál	[kʲɪnəʐʊrˈnal]
орла́ми	orlámi	[ɐrˈlamʲɪ]
распеча́ткам	raspečátkam	[rəspʲɪˈt͡ɕatkəm]
патрули́руя	patrulíruja	[pətrʊˈlʲirʊjə]
ра́ла	rála	[ˈralə]
приобрета́я	priobretája	[prʲɪəbrʲɪˈtajə]
конкре́тном существи́тельном	konkrétnom suščestvítelʹnom	[kɐnˈkrʲetnəm sʊɕːɪstˈvʲitʲɪlʲnəm]
автохо́рии	avtoxórii	[ɐftɐˈxorʲɪɪ]
абля́торах	abljátorax	[ɐˈblʲatərəx]
кукаре́кала	kukarékala	[kʊkɐˈrʲekələ]
про́воду	próvodu	[ˈprovədʊ]
доду́маете	dodúmajete	[dɐˈdumə(j)ɪtʲe]
медоно́сная пчела́	medonósnaja pčelá	[mʲɪdɐˈnosnəjə pt͡ɕɪˈla]
подде́лай	poddélaj	[pɐˈdʲːeləj]
симво́ликами	simvólikami	[sʲɪmˈvolʲɪkəmʲɪ]
нала́мывавши	nalámyvavši	[nɐˈlamɨvəfʂɨ]
баско́й	baskój	[bɐˈskoj]
