hlave	[ˈɦlave]
denne	[ˈdene]
hora	[ˈɦora]
nosoch	[ˈnosox]
nosmi	[ˈnosmi]
koláčik	[ˈkolaːt͡ʃik]
koláčom	[ˈkolaːt͡ʃom]
koláču	[ˈkolaːt͡ʃu]
koláči	[ˈkolaːt͡ʃi]
koláča	[ˈkolaːt͡ʃa]
darovať	[ˈdarovac]
zaspať	[ˈzaspac]
na zdravie	[na zdravi̯e]
cestovať	[ˈt͡sestovac]
palec na nohe	[palet͡s na noɦe]
pieh	[pi̯ex]
pehy	[ˈpeɦi]
pehách	[ˈpeɦaːx]
pehám	[ˈpeɦaːm]
pohára	[ˈpoɦaːra]
ä	/e/
abbé	/ˈabbɛː/
abeceda	/ˈa.bɛ.t͡sɛ.da/
Ábel	/ˈaːbɛɫ/
Adam	/ˈa.dam/
Adama	/Ëˆadama/
Adamami	/ˈadamami/
Adamoch	/ˈadamɔx/
Adamom	/ˈadamɔm/
Adamov	/ˈadamɔu̯/
Adamovi	/ˈadamɔvi/
Adamovia	/ˈadamɔvi̯a/
Adela	/ˈadeɫa/
Adelka	/ˈadɛɫka/
adjektívum	/ˈadjɛktiːvum/
Ado	/ˈadɔ/
Adolf	/ˈadoɫf/
Adrián	/ˈadriaːn/
Adriána	/ˈadriaːna/
Afrika	/ˈafrika/
Afrikánec	/afrikaːɲɛt͡s/
Afrike	/ˈafrikɛ/
Afrikou	/ˈafrikɔu̯/
Afriku	/ˈafriku/
Afriky	/ˈafriki/
Agáta	/ˈaɡaːta/
Agnesa	/ˈaɡnɛsa/
ahoj	/ˈaɦɔj/
aids	/aː iː dɛː ɛs/
aj	[aj]
aj múdry schybí	/ˈaj muːdri sxibiː/
ak	/ak/
akcia	/ˈakt͡sia/
ako	/ˈakɔ/
akonáhle	/ˈakɔnaːɦlɛ/
aktínium	/ˈaktiːnium/
aktivovať	/ˈaktivovac/
aktualizácia	/ˈaktualizaːt͡sia/
aktualizovaný	/ˈaktualizovaniː/
aktualizovať	/ˈaktualizovac/
akuzatív	/ˈakuzatiːu̯/
aký	/ˈakiː/
akýkoľvek	/ˈakiːkɔʎvɛk/
Alah	/ˈaɫax/
Alan	/ˈaɫan/
Alánd	/ˈaɫaːnt/
Alandy	/ˈaɫandi/
Albánsko	[ˈalbaːnsko]
albánsky	/ˈaɫbaːnski/
albánčina	/ˈaɫbaːnt͡ʃina/
Albert	/ˈaɫbɛrt/
Albín	/ˈaɫbiːn/
Albína	/ˈaɫbiːna/
alebo	/ˈalɛbɔ/
Alena	/ˈalɛna/
Alexander	/ˈalɛksandɛr/
Alexandra	/ˈalɛksandra/
Alexej	/ˈalɛksɛj/
Aleš	/ˈalɛʃ/
Alfonz	/ˈaɫfɔns/
Alfréd	/ˈaɫfrɛːt/
alibi	/ˈalibi/
Alica	/ˈalit͡sa/
Aljaška	/ˈalʲaʃka/
alka	/ˈaɫka/
alkohol	/ˈaɫkɔɦɔɫ/
alkoholický	/ˈalkɔhɔlit͡skiː/
alkoholik	/ˈaɫkɔɦɔlik/
almanach	/ˈal.ma.nax/
Alojz	/ˈaɫɔjs/
Alpy	/ˈal.pi/
altruizmus	/ˈaɫtruizmus/
Alžbeta	/ˈaɫʒbɛta/
Amália	/ˈamaːlia/
Ambróz	/ˈambrɔs/
amerícium	/ˈamɛriːt͡sium/
americký	/ˈamɛrit͡skiː/
Američan	/ˈamɛrit͡ʃan/
Američanka	/ˈa.mɛ.ri.t͡ʃaŋ.ka/
amnézia	/ˈamnɛːzia/
Anabela	/ˈanabɛɫa/
anamnéza	/ˈanamnɛːza/
ananás	/ˈananaːs/
Anaxagoras	/ˈanaksaɡoras/
Andrea	/ˈandrɛa/
Andrej	/ˈandrɛj/
andulka	/ˈanduɫka/
Andy	[ˈandi]
Anežka	/ˈaɲɛʃka/
Angela	/ˈaŋɡɛɫa/
Angelika	/ˈaŋɡɛlika/
Anglicko	/ˈaŋɡlit͡skɔ/
angličtina	/ˈaŋɡlit͡ʃcina/
angström	/ˈaŋɡstrɛm/
ani	/ˈaɲi/
anjel	/ˈaɲi̯ɛɫ/
Anna	/ˈanna/
Annu	/ˈannu/
áno	/ˈaːnɔ/
antimón	/ˈantimɔːn/
antisemita	/ˈantisɛmita/
Anton	/ˈantɔn/
Antónia	/ˈantɔːnia/
aperitív	/ˈapɛritiːw/
apríl	/ˈapriːɫ/
arabčina	/ˈarapt͡ʃina/
aragonit	/ˈaraɡɔnit/
archeológia	/ˈarxɛɔɫɔːɡia/
architektúra	/ˈarxitɛktuːra/
arcibiskup	/ˈart͡sibiskup/
argón	/ˈarɡɔːn/
Aristoteles	/ˈaristɔtɛlɛs/
Arménsko	/ˈarmɛːnskɔ/
arménčina	/ˈarmɛːnt͡ʃina/
Arno	/ˈarnɔ/
Arnold	/ˈarnɔld/
Arpád	/ˈarpaːt/
artritída	/ˈartritiːda/
Artúr	/ˈartuːr/
arzén	/ˈarzɛːn/
astát	/ˈastaːt/
astronóm	/ˈastrɔnɔːm/
astronómia	/ˈastrɔnɔːmia/
ateizmus	/ˈatɛizmus/
Atény	/ˈatɛːni/
atóm	/ˈatɔːm/
atómový	/ˈatɔːmɔviː/
atrament	/ˈatramɛnt/
august	[ˈauɡust]
Augustín	/ˈau̯ɡustiːn/
Aurel	/ˈau̯rɛːɫ/
Aurélia	/ˈau̯rɛːlia/
áut	/ˈaːu̯t/
auta	/ˈau̯ta/
autách	/ˈau̯taːx/
autám	/ˈau̯taːm/
autami	/ˈau̯tami/
aute	/ˈau̯cɛ/
auto	/ˈau̯tɔ/
autobus	/ˈau̯tɔbus/
autom	/ˈau̯tɔm/
autostráda	/ˈau̯tɔstraːda/
autu	/ˈau̯tu/
azda	/ˈazda/
Ázia	/ˈaː.zi.a/
ázijský	/ˈaːzijskiː/
báb	/ˈbaːp/
baba	/ˈbaba/
bábika	/ˈbaːbika/
bábka	/ˈbaːbka/
bábok	/ˈbaːbɔk/
babona	/ˈbabɔna/
baht	/baːt/
bájka	[ˈbaːjka]
baktéria	/ˈbaktɛːria/
baktérie	/ˈbaktɛːriɛ/
baldrián	[ˈbaldriaːn]
Baleáry	/ˈbalɛaːri/
bambus	/ˈbambus/
bambusový	/ˈbambusɔviː/
banán	/ˈbanaːn/
baníctvo	/ˈbaɲiːt͡svɔ/
baník	/ˈbaɲiːk/
banka	/ˈbanka/
bankami	/ˈbaŋkami/
banke	/ˈbaŋkɛ/
bankomat	[Ëˆbankomat]
bankovka	/ˈbankɔu̯ka/
banku	/ˈbaŋku/
banky	/ˈbaŋki/
Bara	/ˈbara/
baran	[ˈbaran]
Barbara	/ˈbarbara/
Barbora	/ˈbarbɔra/
bárium	/ˈbaː.ri.um/
Bartolomej	/ˈbartɔɫɔmɛj/
báseň	/ˈbaːsɛɲ/
básnik	/ˈbaːsɲik/
bača	/ˈbat͡ʃa/
baňa	/ˈbaɲa/
báť sa	/ˈbaːc sa/
bažant	/ˈba.ʒant/
Beáta	/ˈbɛaːta/
Beátka	/ˈbɛaːtka/
bedminton	/ˈbɛːdmintɔn/
bedro	/ˈbɛːdrɔ/
bedňa	[ˈbedɲa]
beh	/ˈbɛx/
behať	/ˈbɛɦac/
Bejrút	/ˈbɛjruːt/
belasý	/ˈbelaˌsiː/
Belgicko	/ˈbɛɫɡit͡ʃkɔ/
Belo	/ˈbɛɫɔ/
Benjamín	/ˈbɛnjamiːn/
benzín	/ˈbɛnziːn/
benzínka	/ˈbɛnziːnka/
berkélium	/ˈbɛrkɛːlium/
Berlín	/ˈbɛrliːn/
Bernard	/ˈbɛrnard/
Berta	/ˈbɛrta/
hlave	[ˈɦlave]
denne	[ˈdene]
hora	[ˈɦora]
nosoch	[ˈnosox]
nosmi	[ˈnosmi]
koláčik	[ˈkolaːt͡ʃik]
koláčom	[ˈkolaːt͡ʃom]
koláču	[ˈkolaːt͡ʃu]
