lъbъ	slovak	leb	ˈlɛb	ˈlɛp	
rě̑čь	slovak	reč	ˈrɛt͡ʃ	ˈrɛt͡ʃ	
mỳti	slovak	myť	ˈmic	ˈmic	
sokъ	slovak	sok	sok	ˈsok	
mogtь	slovak	moc	ˈmɔt͡s	ˈmɔt͡s	
surovъ	slovak	surový	ˈsurɔviː	ˈsurɔviː	
povorzъ	slovak	povraz	ˈpɔvras	ˈpɔʋras	
glīstà	slovak	hlísta	ˈɦliːsta	ˈɦliːsta	
smьjàti	slovak	smiať sa	ˈsmi̯ac sa	ˈsmi̯ac sa	
lopàta	slovak	lopata	ˈɫɔpata	ˈɫɔpata	
zъly	slovak	zolvica	ˈzolvit͡sa	ˈzolʋit͡sa	
tvȃrь	slovak	tvár	ˈtvaːr	ˈtʋaːr	
globìti	slovak	hlobiť	ˈɦlobic	ˈɦlobic	
vȅčerъ	slovak	večer	ˈvɛt͡ʃɛr	ˈʋɛt͡ʃɛr	
vъ̑šь	slovak	voš	ˈvɔʃ	ˈvɔʃ	
krȋkъ	slovak	krik	ˈkrik	ˈkrik	
gabati	slovak	habať	ˈɦabac	ˈɦabac	
gǫ̑stъ	slovak	hustý	ˈɦustiː	ˈɦustiː	
glístъ	slovak	hlísta	ˈɦliːsta	ˈɦliːsta	
jьmàti	slovak	mať	ˈmac	ˈmac	
kòža	slovak	koža	ˈkɔʒa	ˈkɔʒa	
kǫpina	slovak	kǫpina	ˈkapina	ˈkupina	this is a mistake in the online version which gives the PSl (?) form as the Slk
mǭtìti	slovak	mútiť	ˈmuːcic	ˈmuːcic	
mȏstъ	slovak	most	ˈmɔst	ˈmɔst	
slàva	slovak	sláva	ˈsɫaːva	ˈsɫaːʋa	
dē̌žà	slovak	dieža	ˈɟi̯ɛʒa	ˈɟi̯ɛʒa	
mьlčàti	slovak	mlčať	ˈmɫ̩t͡ʃac	ˈmɫ̩t͡ʃac	
pь̑lstь	slovak	plsť	ˈpɫ̩sc	ˈpɫ̩sc	
zaverti	slovak	zavrieť	ˈzavri̯ɛc	ˈzaʋri̯ɛc	
nìtь	slovak	niť	ˈɲic	ˈɲic	
čàdjь	slovak	čadza	ˈt͡ʃad͡za	ˈt͡ʃad͡za	
žuriti	slovak	zúriť	ˈzuːric	ˈzuːric	
glìva	slovak	hliva	ˈɦliva	ˈɦliʋa	
pazduxa	slovak	pazucha	ˈpazuxa	ˈpazuxa	
dьrati	slovak	drať	ˈdrac	ˈdrac	
pri	slovak	pri	pri	pri	
bьrati	slovak	brat́	brac	ˈbrac	
otjьtnǫti	slovak	ocitnouť sa	ˈɔt͡sitnɔuc	ˈɔt͡sitnɔuc	
gràdъ	slovak	hrad	ˈɦrat	ˈɦrat	
klasti	slovak	klásť	ˈkɫaːsc	ˈkɫaːsc	
vь̀lna	slovak	vlna	ˈvɫ̩na	ˈʋɫ̩na	
dьrzъ	slovak	drzý	ˈdr̩ziː	ˈdr̩ziː	
pỳrьjь	slovak	pýr	ˈpiːr	ˈpiːr	
vỳgъn̨a	slovak	vyhňa	ˈʋiɦɲa	ˈʋiɦɲa	
natь	slovak	nať	ˈnac	ˈnac	
vojь	slovak	vojín	ˈvɔjiːn	ˈʋɔjiːn	
šȇstъ	slovak	šiesty	ˈʃi̯ɛsti	ˈʃi̯ɛsti	
làjati	slovak	láť	ˈɫaːc	ˈɫaːc	
rūnò	slovak	rúno	ˈruːnɔ	ˈruːnɔ	
lǫ̑gъ	slovak	luh	ˈɫux	ˈɫux	
mošьna	slovak	mošna	ˈmɔʃna	ˈmɔʃna	
emelo	slovak	jemelo	ˈjemelo	ˈjɛmɛlo	
dāvàti	slovak	dávať	ˈdaːvac	ˈdaːʋac	
vьrgnǫti	slovak	vrhnúť	ˈʋr̩ɦnuːc	ˈʋr̩ɦnuːc	
gonìti	slovak	honiť	ˈɦɔɲic	ˈɦɔɲic	
želza	slovak	žľaza	ˈʒʎaza	ˈʒʎaza	
àma	slovak	jama	ˈjama	ˈjama	
osnòvā	slovak	osnova	ˈɔsnɔva	ˈɔsnɔʋa	
drǫ́gъ	slovak	drúh	ˈdruːx	ˈdruːx	
kǫ́tъ	slovak	kút	ˈkuːt	ˈkuːt	
dъxъ	slovak	dech	ˈɟɛx	ˈɟɛx	
kъjь	slovak	ký	kiː	ˈkiː	
krasьnъ	slovak	krásny	ˈkraːsni	ˈkraːsni	
netopyr'ь	slovak	netopier	ˈɲɛtɔpi̯ɛr	ˈɲɛtɔpi̯ɛr	
nuditi	slovak	nudiť	ˈnuɟic	ˈnuɟic	
bìti	slovak	biť	ˈbic	ˈbic	
màslo	slovak	maslo	ˈmasɫɔ	ˈmasɫɔ	
edlà	slovak	jedľa	ˈjedʎa	ˈjɛdʎa	
sěděti	slovak	sedieť	ˈsɛɟi̯ɛc	ˈsɛɟi̯ɛc	
mȃstь	slovak	masť	ˈmasc	ˈmasc	
koltъ	slovak	klát	ˈkɫaːt	ˈkɫaːt	
bȏlgъ	slovak	blahý	ˈbɫaɦiː	ˈbɫaɦiː	
sęgnǫti	slovak	siahnuť	ˈsi̯aɦnuc	ˈsi̯aɦnuc	
gъ̑rstь	slovak	hrsť	ɦr̩sc	ˈɦr̩sc	
vъnùkъ	slovak	vnuk	ˈvnuk	ˈʋnuk	
čь̀rnъ	slovak	čierny	ˈt͡ʃi̯erni	ˈt͡ʃi̯ɛrni	
náglъ	slovak	náhly	ˈnaːɦli	ˈnaːɦli	
