				corr.
kǫ́tъ	slovene	kǫ́t	kò̝ːt	kǒ:t
žędьnъ	slovene	žę́dǝn	ʒèːdən	ʒěːdən
kъto	slovene	kdọ́	kdòː	kdǒ:
pьšenò	slovene	pšénọ	pʃɛ̀ːno	pʃɛ̌ːno
làskati	slovene	láskati	làːskati	lǎːskati
děliti	slovene	dẹlíti	delìːti	delǐːti
vȏzъ	slovene	vọ̑z	ʋóːs	ʋôːs
drobь	slovene	drọ̑b	dróːp	drôp
dьnьsь	slovene	dánǝs	dàːnǝs	dǎ:nǝs
mogtь	slovene	mọ̑č	móːt͡ʃ	môːt͡ʃ
tvь̑rdъ	slovene	tȓd	tə́rt	tə̂rt
gȏrdъ	slovene	grȃd	ɡráːt	ɡrâːt
prodadja	slovene	prodȃja	prɔdáːja	prɔdâːja
legti	slovene	lę́či	lèːt͡ʃi	lěːt͡ʃi
pȇlnъ	slovene	plẹ̑n	pléːn	plêːn
obolkъ	slovene	oblȃk	ɔbláːk	ɔblâːk
glògъ	slovene	glòg	ɡlɔ́k	ɡlɔ̂k
pelenà	slovene	plẹ́na	plèːna	plěːna
kozà	slovene	kóza	kɔ̀ːza	kɔ̌ːza
gъ̑rstь	slovene	gȓst	ɡə́rst	ɡə̂rst
gȏjь	slovene	gòj	ɡàːj	ɡô:i̯
pri	slovene	prì	pr	prî
vitь	slovene	vȋt	ʋíːt	ʋîːt
krъxъ	slovene	kr̀h	kərəx	kə̂rx
větjati	slovene	vę́čati	ʋè̝ːt͡ʃati	ʋěːt͡ʃati
ǫzъkъ	slovene	ǫ́zǝk	ò̝ːzǝk	ǒːzǝk
xȏldъ	slovene	hlȃd	xláːt	xlâːt
bъrtъ	slovene	brt	brt	
gumьnò	slovene	gúmnọ	ɡùːmno	ɡǔːmno
dȏmъ	slovene	dọ̑m	dóːm	dôːm
grobъ	slovene	gròb	ɡrɔ́p	ɡrɔ̂p
blizъkъ	slovene	blízǝk	blìːzǝ	blǐːzǝk
òrkъ	slovene	ràk	ràːk	râːk
morъ	slovene	mòr	mɔ́r	mɔ̂r
žezlò	slovene	žę́zlọ	ʒèːzlo	ʒěːzlo
volžiti	slovene	vlážiti	ʋlàːʒiti	ʋlǎːʒiti
zmь̀jь	slovene	zmȃj	zmáːj	zmâːi
rāčìti	slovene	ráčiti	ràːt͡ʃiti	rǎːt͡ʃiti
sermъša	slovene	srę̑mša	sré̝ːmʃa	srêːmʃa
brъzda	slovene	bŕzda	bə̀rzda	bə̌rzda
mavati	slovene	májati	màːjati	mǎːjati
muzga	slovene	múzga	mùːzɡa	mǔːzɡa
grъmъ	slovene	gȓm	ɡə́rm	ɡə̂rm
krǫ̑gъ	slovene	krǫ̑g	krɔ́k	krô:k
dětę	slovene	dẹ́te	dèːtɛ	děːtɛ
àblъka	slovene	jáboɫka	jàːbɔʊka	jǎːbɔu̯ka
mamiti	slovene	mámiti	màːmiti	mǎːmiti
orǫdьje	slovene	orǫ̑dje	ɔró̝ːdjɛ	ɔrôːdjɛ
vъpìti	slovene	vpíti	ʋpìːti	ʋpǐːti
mělъ	slovene	mẹ̑lj	méːlj	mêːl
dūšà	slovene	dúša	dùːʃa	dǔːʃa
ȁsenь	slovene	jásen	jàːsɛn	jǎːsɛn
gně̄zdò	slovene	gnẹ́zdọ	ɡnèːzdo	ɡněːzdo
svě̄tjà	slovene	svẹ́ča	sʋèːt͡ʃa	sʋěːt͡ʃa
elbedà	slovene	lóboda	lɔ̀ːbɔda	lɔ̌ːbɔda
blǫ̑dъ	slovene	blǫ̑d	bló̝ːt	blôːt
gǫžьvь	slovene	gǫ́žva	ɡèːʒʋa	ɡǒːʒʋa
prijatelь	slovene	prijȃtelj	prijáːtɛl	prijâːtɛl
drobьnъ	slovene	dróbǝn	drɔ̀ːbən	drɔ̌ːbən
bèrmę	slovene	bréme	brɛ̀ːmɛ	brɛ̌ːmɛ
aviti	slovene	jáviti	jàːʋiti	jǎːʋiti
dě̀lo	slovene	dẹ́lọ	dèːl	děːlo
svętъ	slovene	svę̑t	sʋéːt	sʋêːt
gòlъ	slovene	gòɫ	ɡɔ́ʊ	ɡɔ̂u̯
žìla	slovene	žíla	ʒìːla	ʒǐːla
drǫ́gъ	slovene	drǫ̑g	dró̝ːk	drôːk
ob	slovene	ò(b)	ɔ́p	ɔ̂p
čìstъ	slovene	čìst	t͡ʃə́st	t͡ʃîst
jьmę	slovene	imę̑	imé̝ː	imêː
slìna	slovene	slína	slìːna	slǐːna
nejęsytь	slovene	nesìt	nɛsít	nɛsît
bìtva	slovene	bȋtva	bíːtʋa	bîːtʋa
lǫkàvъ	slovene	lokàv	lɔkɔʋ	lɔkâu̯
brъkati	slovene	bŕkati	bə̀rkati	bə̌rkati
dę̄snò	slovene	dlésna	dlɛ̀ːsna	dlɛ̌ːsna
šurь	slovene	šurják	ʃurjàːk	ʃurjǎːk
plàviti	slovene	plavíti	plaʋìːti	plaʋǐːti
avьnъ	slovene	jávǝn	jàːʋən	jǎːʋən
mě̀sęcь	slovene	mẹ̑sec	méːsɛt͡s	mêːsɛt͡s
polěti	slovene	polẹ́ti	pɔlèːti	pɔlěːti
ězъ	slovene	jẹ̑z	jéːs	jêːs
suti	slovene	súti	sùːti	sǔːti
glǫbòkъ	slovene	globòk	ɡlɔbək	ɡlɔbɔ̂k
zȍlto	slovene	zlatọ̑	zlatóː	zlatǒː
puxlъ	slovene	púhǝɫ	pùːxǝʊ	pǔːxǝu̯
prosìti	slovene	prósiti	prɔ̀ːsiti	prɔ̌ːsiti
kȏlsъ	slovene	klȃs	kláːs	klâːs
sъlъ	slovene	sǝ̀ɫ	sǝ̀ʊ	sǝ̂u̯
kòlda	slovene	kláda	klàːda	klǎːda
tesàti	slovene	tésati	tɛ̀ːsati	tɛ̌ːsati
mȃstь	slovene	mȃst	máːst	mâːst
gāsìti	slovene	gasíti	ɡasìːti	ɡasǐːti
tȗrъ	slovene	tȗr	túːr	tûːr
vę̄zàti	slovene	vę́zati	ʋèːzati	ʋěːzati
mestì	slovene	mésti	mɛ̀ːsti	mɛ̌ːsti
gluma	slovene	glúma	ɡlùːma	ɡlǔːma
àma	slovene	jáma	jàːma	jǎːma
lъkno	slovene	leknọ	lɛkno	lɛkno
kysati	slovene	kísati	kìːsati	kǐːsati
ūzdà	slovene	úzda	ùːzda	ǔːzda
lisìca	slovene	lisíca	lisìːt͡sa	lisǐːt͡sa
dūrìti	slovene	dúriti	dùːriti	dǔːriti
ěrina	slovene	jarína	jarìːna	jarǐːna
oldi	slovene	ládja	làːdja	lǎːdja
tajìti	slovene	tajíti	tajìːti	tajǐːti
želě̀zo	slovene	želẹ́zọ	ʒɛlèːzo	ʒɛlěːzo
ȅsenь	slovene	jesę́	jɛsè̝ː	jɛsěː
pьrga	slovene	pŕga	pə̀rɡa	pə̌rɡa
làjati	slovene	lȃjati	láːjati	lâːjati
ędza	slovene	ję́za	jèːza	jěːza
volkà	slovene	vláka	ʋlàːka	ʋlǎːka
mьgnǫti	slovene	mǝgníti	mɔɡnìːti	mǝɡnǐːti
krūpà	slovene	krúpa	krùːpa	krǐːpa
kъsьnъ	slovene	kǝsȃn	kəsáːn	kəsâːn
drāžìti	slovene	drážiti	dràːʒiti	drǎːʒiti
mъknǫti	slovene	mǝkníti	mɔknìːti	mǝknǐːti
dьl̨a	slovene	dẹ̀lj	dèːlj	dêl
nāròdъ	slovene	národ	nàːrɔt	nǎːrɔt
čьxati	slovene	číhati	t͡ʃìːxati	t͡ʃǐːxati
mьrkъ	slovene	mȓk	mə́rk	mə̂rk
vȏrnъ	slovene	vrȃn	ʋráːn	ʋrâːn
golǫbъ	slovene	golǫ̑bji	ɡɔló̝ːbji	ɡɔlôːbji
