зи́мородок	zýmorodok	[ˈzɪmɔrɔdɔk]
леле́ка	leléka	[leˈlɛkɐ]
Львів	Lʹviv	[lʲˈʋʲiu̯]
кия́нин	kyjányn	[keˈjɑnen]
кна́йпа	knájpa	[ˈknɑi̯pɐ]
число́	čysló	[t͡ʃeˈslɔ]
лише́	lyšé	[leˈʃɛ]
глід	hlid	[ˈɦlʲid]
берескле́т	bruslýna	[bereˈsklɛt]
	porá róku	[seˈzɔn]
ка́федра	káfedra	[ˈkɑfedrɐ]
ва́ше	váše	[ˈʋɑʃe]
украї́нець	ukrajínecʹ	[ʊkrɐˈjinet͡sʲ]
Я́ків	Jákiv	/ˈjɑkiu̯/
вона́	voná	[wɔˈnɑ]
воно́	vonó	[wɔˈnɔ]
вони́	voný	[wɔˈnɪ]
горі́лки	horílky	/ɦoˈrilkɪ/
англі́йський	Ánhlija	[ɐnˈɦlʲii̯sʲkei̯]
депута́т	deputát	[depʊˈtɑt]
Є́ва	Jéva	[ˈjɛu̯ɐ]
Євге́н	Jevhén	[jeu̯ˈɦɛn]
Євге́нія	Jevhénija	[jeu̯ˈɦɛnʲijɐ]
євразі́йський	jevrazíjsʹkyj	[jeu̯rɐˈzʲii̯sʲkei̯]
Євро́па	Jevrópa	[jeu̯ˈrɔpɐ]
європе́йський	jevropéjsʹkyj	[jeu̯rɔˈpɛi̯sʲkei̯]
Ñ–	i	[Ëˆi]
Іва́н	Iván	[iˈu̯ɑn]
Іва́нна	Ivánna	[iˈu̯ɑnːɐ]
іде́я	idéja	[iˈdɛjɐ]
Іло́на	Ilóna	[iˈlɔnɐ]
ім'я́	imʺjá	[iˈmjɑ]
іме́нник	iménnyk	[iˈmɛnːek]
імуноло́гія	imunolóhija	[imʊnɔˈlɔɦʲijɐ]
ініціати́ва	iniciatýva	[inʲit͡sʲiɐˈtɪu̯ɐ]
інвалі́д	invalíd	[inʋɐˈlʲid]
інвести́ція	investýcija	[inʋeˈstɪt͡sʲijɐ]
інве́стор	invéstor	[inˈʋɛstɔr]
інді́йський	indíjsʹkyj	[inʲˈdʲii̯sʲkei̯]
інквілі́н	inkvilín	/inkviˈlin/
і́нколи	ínkoly	/ˈinkolɪ/
І́нна	Ínna	[ˈinːɐ]
інститу́т	instytút	[insteˈtut]
інстру́кціє	instrúkcije	[inˈstrukt͡sʲije]
інстру́кцією	instrúkcijeju	[inˈstrukt͡sʲijejʊ]
інстру́кції	instrúkciji	[inˈstrukt͡sʲiji]
інстру́кцій	instrúkcij	[inˈstrukt͡sʲii̯]
інстру́кцію	instrúkciju	[inˈstrukt͡sʲijʊ]
інстру́кція	instrúkcija	[inˈstrukt͡sʲijɐ]
інстру́кціям	instrúkcijam	[inˈstrukt͡sʲijɐm]
інстру́кціями	instrúkcijamy	[inˈstrukt͡sʲijɐme]
інстру́кціях	instrúkcijax	[inˈstrukt͡sʲijɐx]
інструме́нт	instrumént	[instrʊˈmɛnt]
інтегра́ція	intehrácija	[inteˈɦrɑt͡sʲijɐ]
інтерв'ю́	intervʺjú	[interˈʋju]
інтере́с	interés	[inteˈrɛs]
інформа́тика	informátyka	[infɔrˈmɑtekɐ]
інформа́ція	informácija	[infɔrˈmɑt͡sʲijɐ]
і́нший	ínšyj	/ˈinʃɪj/
Іри́на	Irýna	[iˈrɪnɐ]
існува́ння	isnuvánnja	[isnʊˈu̯ɑnʲːɐ]
і́стина	ístyna	[ˈistenɐ]
істо́рія	istórija	[iˈstɔrʲijɐ]
істо́та	istóta	[iˈstɔtɐ]
-ість	-istʹ	[-ˈisʲtʲ]
Іта́лія	Itálija	[iˈtɑlʲijɐ]
іша́к	išák	[iˈʃɑk]
ї	ji	/ji/
її́	jijí	[jiˈji]
ї́жа	jíža	[ˈjiʒɐ]
їжа́к	jižák	[jiˈʒɑk]
ї́сти	jísty	/ˈjistɪ/
їх	jix	[ˈjix]
а	a	[ˈɑ]
А	A	[ˈɑ]
аб'юра́ція	abʺjurácija	[ɐbjʊˈrɑt͡sʲijɐ]
абіогене́з	abiohenéz	[ɐbʲiɔɦeˈnɛz]
абіса́ль	abisálʹ	[ɐbʲiˈsɑlʲ]
абіссі́нець	abissínecʹ	[ɐbʲiˈsʲːinet͡sʲ]
абіссі́нка	abissínka	[ɐbʲiˈsʲːinkɐ]
абітуріє́нт	abiturijént	[ɐbʲitʊrʲiˈjɛnt]
абітуріє́нтка	abiturijéntka	[ɐbʲitʊrʲiˈjɛntkɐ]
абажу́р	abažúr	[ɐbɐˈʒur]
абажу́рчик	abažúrčyk	[ɐbɐˈʒurt͡ʃek]
аба́з	abáz	[ɐˈbɑz]
аба́зія	abázija	[ɐˈbɑzʲijɐ]
абази́н	abazýn	[ɐbɐˈzɪn]
абази́нець	abazýnecʹ	[ɐbɐˈzɪnet͡sʲ]
абази́нка	abazýnka	[ɐbɐˈzɪnkɐ]
аба́к	abák	[ɐˈbɑk]
аба́ка	abáka	[ɐˈbɑkɐ]
абандо́н	abandón	[ɐbɐnˈdɔn]
аба́т	abát	[ɐˈbɑt]
абати́са	abatýsa	[ɐbɐˈtɪsɐ]
аба́тство	abátstvo	[ɐˈbɑt͡stwɔ]
а́бвер	ábver	[ˈɑbʋer]
абдика́ція	abdykácija	[ɐbdeˈkɑt͡sʲijɐ]
абдомінопла́стика	abdominoplástyka	[ɐbdɔmʲinɔˈplɑstekɐ]
абера́ція	aberácija	[ɐbeˈrɑt͡sʲijɐ]
абе́тка	a	[ɐˈbɛtkɐ]
абеткува́ння	abetkuvánnja	[ɐbetkʊˈu̯ɑnʲːɐ]
абза́ц	abzác	[ɐˈbzɑt͡s]
аби́щиця	abýščycja	[ɐˈbɪʃt͡ʃet͡sʲɐ]
