bolěti	ukrainian	bolíty	boˈlʲite	boˈlʲitɪ
ęti	ukrainian	játy	ˈjɑte	ˈjatɪ
blě̑dъ	ukrainian	blidýj	blʲiˈdɪj	blʲiˈdɪi̯
elъkъ	ukrainian	ylkýj	eˈlkɪi̯	
ěždžь	ukrainian	jazgar	jɐˈzɡɐr	
rȗx	ukrainian	rux	ˈrux	ˈrux
tęti	ukrainian	tjáty	ˈtʲɑte	ˈtʲatɪ
ěrъ	ukrainian	járyj	ˈjɑrei̯	ˈjarɪi̯
ȏlsь	ukrainian	los'	ˈlɔsʲ	ˈlɔsʲ
kotora	ukrainian	kotorá	kɔtɔˈrɑ	kɔtɔˈra
korda	ukrainian	kóroda	ˈkɔrɔdɐ	
mъxъ	ukrainian	mox	mox	ˈmox
lemežь	ukrainian	lemíš	leˈmʲiʃ	ɫɛˈmʲiʃ
sьcati	ukrainian	scjáty	ˈst͡sʲɑte	ˈst͡sʲatɪ 
želdъ	ukrainian	óželed'	ˈɔʒeled	ˈɔʒeledʲ
grivьna	ukrainian	hrývna	ˈɦrɪu̯nɐ	ˈɦrɪu̯na
osa	ukrainian	osýna	ɔˈsɪnɐ	
drāpàti	ukrainian	drápaty	ˈdrɑpɐte	ˈdrapatɪ
paznogъtь	ukrainian	págnist'	ˈpɑɡnʲistʲ	
murъ	ukrainian	múryj	ˈmurei̯	
borna	ukrainian	boroná	bɔrɔˈnɑ	bɔrɔˈna
šulo	ukrainian	šúla	ˈʃulɐ	
dolъ	ukrainian	dil	dʲiˈlʲi	
nogà	ukrainian	nohá	nɔˈɦɑ	nɔˈɦa
drokъ	ukrainian	drik	ˈdrʲik	ˈdrʲik
žeravь	ukrainian	žuravél'	ʒʊrɐˈu̯ɛl	ʒuraˈʋɛlʲ
nyr̨ati	ukrainian	nyrjáty	neˈrʲɑte	nɪˈrʲatɪ
bàjati	ukrainian	bájati	ˈbɑjɐtʲi	ˈbajatɪ
svьrběti	ukrainian	sverbíty	sʋerˈbʲite	sʋerˈbʲitɪ
orsti	ukrainian	rostý	rɔˈstɪ	rɔˈstɪ
ȇ̌dъ	ukrainian	jid	ˈjid	ˈjid
dьrbati	ukrainian	dérbaty	ˈdɛrbɐte	ˈdɛrbatɪ
drobъ	ukrainian	drib	drib	ˈdrib
šьvьcь	ukrainian	švec'	ˈʃʋɛt͡sʲ	ˈʃʋɛt͡sʲ
čermuxa	ukrainian	čerémuxa	t͡ʃeˈrɛmʊxɐ	t͡ʃɛˈrɛmuxa
čȇrvo	ukrainian	čérevo	ˈt͡ʃɛreu̯ɔ	ˈt͡ʃɛrɛu̯ɔ
l̨udìna	ukrainian	ljudýna	lʲʊˈdɪnɐ	lʲuˈdɪna
porà	ukrainian	porá	pɔˈrɑ	pɔˈra
orkỳta	ukrainian	rokíta	rɔˈkitɐ	
lososь	ukrainian	losós'	lɔˈsɔsʲ	lɔˈsɔsʲ
želdica	ukrainian	óželed'	ˈɔʒeled	ˈɔʒɛɫɛdʲ
sǫdì	ukrainian	suddjá	sʊdʲˈdʲɑ	sudʲˈdʲa
ěža	ukrainian	jiz	jiz	
voskъ	ukrainian	vísk	ˈʋʲisk	ˈʋʲisk
àsъtrě̄bъ	ukrainian	jástrib	ˈjɑstrʲib	ˈjastrʲib
jьgrь	ukrainian	hra	ˈɦrɑ	ˈɦra
děl̨a	ukrainian	diljá	dʲiˈlʲɑ	
gъrno	ukrainian	hornó	ɦɔrˈnɔ	ɦɔrˈnɔ
