a	bcs	a	a	a	SAME		
ajьce	bcs	jájce	jǎːjtse		IN_WIKTIONARY		
ako	bcs	ako	ako	ako	SAME		
akъ	bcs	jȃk	jâːk		IN_WIKTIONARY		
akъjь	bcs	jȃk	jâːk		IN_WIKTIONARY		
avě	bcs	javi	javi	jaʋi	DIFFERENT	2	
aviti	bcs	jáviti	jǎːʋiti		IN_WIKTIONARY		
avьnъ	bcs	jȃvan	jâːʋan				
azъ	bcs	jȃ	jâː		IN_WIKTIONARY		
aščerъ	bcs	jȁster	jâster				
àgnę	bcs	jȁgne	jâɡne				
àgnьcь	bcs	jȁgnjac	jâɡɲats				
àma	bcs	jȁma	jâma		IN_WIKTIONARY		
ȁgoda	bcs	jȁgoda	jâɡoda				
ȃje	bcs	jáje	jǎːje		IN_WIKTIONARY		
bàjati	bcs	bȁjati	bâjati		IN_WIKTIONARY		
bàviti	bcs	bȁvit	bâʋit				
bȁba	bcs	bȁba	bâba		IN_WIKTIONARY		
bergtì	bcs	brijèći	brijětɕi				
berstъ	bcs	brȉjest	brîjest				
bez	bcs	bez	bɛz	bez	DIFFERENT	2	
bezъ	bcs	bez	bɛz	bez	DIFFERENT	2	
bèrdjь	bcs	brȅđ	brêd͡ʑ				
bèrmę	bcs	brȅme	brême		IN_WIKTIONARY		
bèrza	bcs	brȅza	brêza				
běžàti	bcs	bjèžati	bjěʒati		IN_WIKTIONARY		
bě̀gati	bcs	bjȅgati	bjêɡati		IN_WIKTIONARY		
bě́lъ	bcs	bȉo	bîo		IN_WIKTIONARY		
bě̄dà	bcs	bijèda	bijěda				
bě̄dìti	bcs	bijèditi	bijěditi				
bě̑sъ	bcs	bȉjes	bîjes				
bȇrgъ	bcs	brȉjeg	brîjeɡ				
bìdlo	bcs	bȉlo	bîlo		IN_WIKTIONARY		
bìti	bcs	bȉti	bîti		IN_WIKTIONARY		
bìtva	bcs	bȉtva	bîtʋa				
bìčь	bcs	bȉč	bîtʃ		IN_WIKTIONARY		
blekъ	bcs	blȇk	blêːk				
blějati	bcs	bléjati	blěːjati		IN_WIKTIONARY		
blě̑dъ	bcs	blȉjed	blîjed				
blě̑skъ	bcs	blȉjesak	blîjesak				
blęsti	bcs	blesti	blesti		IN_WIKTIONARY		
blǭdìti	bcs	blúditi	blǔːditi				
blǫ̑dъ	bcs	blȗd	blûːd		IN_WIKTIONARY		
bl̨ustì	bcs	bljȕsti	bʎûsti				
bl̨ьvàti	bcs	bljùvati	bʎǔʋati		IN_WIKTIONARY		
blъxà	bcs	bùha	bǔxa		IN_WIKTIONARY		
blьščati sę	bcs	blijèštati se	blijěʃtati se				
bo	bcs	bo	bo		CORRECTED		
bodъlь	bcs	bȏdalj	bôːdaʎ				
bogàtъ	bcs	bògat	bǒɡat		IN_WIKTIONARY		
bojati sę	bcs	bòjati se	bǒjati				
bojaznь	bcs	bȍjāzan	bôjaːzan		IN_WIKTIONARY		
bojь	bcs	bȏj	bôːj		IN_WIKTIONARY		
bolěti	bcs	bòljeti	bǒʎeti		IN_WIKTIONARY		
bolzìna	bcs	blàzina	blǎzina				
bol̨e	bcs	bȍlje	bôʎe				
bol̨eje	bcs	bȍlje	bôʎe				
bol̨ьjь	bcs	bȍljī	bôʎiː				
bordatъ	bcs	bràdat	brǎdat		IN_WIKTIONARY		
