a	bcs	a	a
ajьce	bcs	jájce	jǎːjt͡se
ako	bcs	ako	ako
akъ	bcs	jȃk	jâːk
akъjь	bcs	jȃk	jâːk
avě	bcs	javi	jaʋi
aviti	bcs	jáviti	jǎːʋiti
avьnъ	bcs	jȃvan	jâːʋan
azъ	bcs	jȃ	jâː
aščerъ	bcs	jȁster	jâster
àgnę	bcs	jȁgne	jâɡne
àgnьcь	bcs	jȁgnjac	jâɡɲat͡s
àma	bcs	jȁma	jâma
ȁgoda	bcs	jȁgoda	jâɡoda
ȃje	bcs	jáje	jǎːje
bàjati	bcs	bȁjati	bâjati
bàviti	bcs	bȁvit	bâʋit
bȁba	bcs	bȁba	bâba
bergtì	bcs	brijèći	brijět͡ɕi
berstъ	bcs	brȉjest	brîjest
bez	bcs	bez	bez
bezъ	bcs	bez	bez
bèrdjь	bcs	brȅđ	brêd͡ʑ
bèrmę	bcs	brȅme	brême
bèrza	bcs	brȅza	brêza
běžàti	bcs	bjèžati	bjěʒati
bě̀gati	bcs	bjȅgati	bjêɡati
bě́lъ	bcs	bȉo	bîo
bě̄dà	bcs	bijèda	bijěda
bě̄dìti	bcs	bijèditi	bijěditi
bě̑sъ	bcs	bȉjes	bîjes
bȇrgъ	bcs	brȉjeg	brîjeɡ
bìdlo	bcs	bȉlo	bîlo
bìti	bcs	bȉti	bîti
bìtva	bcs	bȉtva	bîtʋa
bìčь	bcs	bȉč	bît͡ʃ
blekъ	bcs	blȇk	blêːk
blějati	bcs	bléjati	blěːjati
blě̑dъ	bcs	blȉjed	blîjed
blě̑skъ	bcs	blȉjesak	blîjesak
blęsti	bcs	blesti	blesti
blǭdìti	bcs	blúditi	blǔːditi
blǫ̑dъ	bcs	blȗd	blûːd
bl̨ustì	bcs	bljȕsti	bʎûsti
bl̨ьvàti	bcs	bljùvati	bʎǔʋati
blъxà	bcs	bùha	bǔxa
blьščati sę	bcs	blijèštati se	blijěʃtati se
bo	bcs	bo	bo
bodъlь	bcs	bȏdalj	bôːdaʎ
bogàtъ	bcs	bògat	bǒɡat
bojati sę	bcs	bòjati se	bǒjati
bojaznь	bcs	bȍjāzan	bôjaːzan
bojь	bcs	bȏj	bôːj
bolěti	bcs	bòljeti	bǒʎeti
bolzìna	bcs	blàzina	blǎzina
bol̨e	bcs	bȍlje	bôʎe
bol̨eje	bcs	bȍlje	bôʎe
bol̨ьjь	bcs	bȍljī	bôʎiː
bordatъ	bcs	bràdat	brǎdat
bordà	bcs	bráda	brǎːda
borna	bcs	brána	brǎːna
borzdà	bcs	brázda	brǎːzda
bostì	bcs	bòsti	bǒsti
bòlto	bcs	blȁto	blâto
bȍršьno	bcs	brȁšno	brâʃno
bȏgъ	bcs	bȏg	bôːɡ
bȏlgo	bcs	blȃgo	blâːɡo
bȏlgъ	bcs	blȃg	blâːɡ
