čь̀rnъ	adj. o	b	čь̀rnъ 		Grammatical information: adj. o 	čь̀rnъ 
čь̀rnъ	adj. o	b	Grammatical information:		Accent paradigm: b 	čь̀rnъ 
čь̀rnъ	adj. o	b	Old Church Slavic:	črъnъ	[adj o]	čь̀rnъ 
čь̀rnъ	adj. o	b	Russian:	čërnyj	[adj o]	čь̀rnъ 
čь̀rnъ	adj. o	b	Czech:	černý	[adj o]	čь̀rnъ 
čь̀rnъ	adj. o	b	Slovak:	čierny	[adj o]	čь̀rnъ 
čь̀rnъ	adj. o	b	Polish:	czarny	[adj o]	čь̀rnъ 
čь̀rnъ	adj. o	b	Upper Sorbian:	čorny	[adj o]	čь̀rnъ 
čь̀rnъ	adj. o	b	Lower Sorbian:	carny	[adj o]	čь̀rnъ 
čь̀rnъ	adj. o	b	Serbo-Croatian:	cȓn	[adj o]	čь̀rnъ 
čь̀rnъ	adj. o	b	Slovene:	čŕn	[adj o]	čь̀rnъ 
čь̀rnъ	adj. o	b	Bulgarian:	čéren	[adj o]	čь̀rnъ 
čь̀rnъ	adj. o	b	Lithuanian:	kir̃snas	[adj]	čь̀rnъ 
čь̀rnъ	adj. o	b	Old Prussian:	kirsnan	[adj]	čь̀rnъ 
čь̀rnъ	adj. o	b	Other cognates:	kr̯ṣṇá-	[adj]	čь̀rnъ 
čь̑stь	f. i	c	čь̑stь 		Grammatical information: f. i 	čь̑stь 
čь̑stь	f. i	c	Grammatical information:		Accent paradigm: c 	čь̑stь 
čь̑stь	f. i	c	Old Church Slavic:	čьstь	[f i]	čь̑stь 
čь̑stь	f. i	c	Russian:	čest'	[f i]	čь̑stь 
čь̑stь	f. i	c	Czech:	čest	[f i]	čь̑stь 
čь̑stь	f. i	c	Polish:	cześć	[f i]	čь̑stь 
čь̑stь	f. i	c	Upper Sorbian:	česć	[f i]	čь̑stь 
čь̑stь	f. i	c	Serbo-Croatian:	čȃst	[f i]	čь̑stь 
čь̑stь	f. i	c	Slovene:	čȃst	[f i]	čь̑stь 
